,Tick,Second,AttackerSteamId,AttackerName,AttackerTeam,AttackerSide,AttackerX,AttackerY,AttackerZ,AttackerAreaId,AttackerAreaName,AttackerViewX,AttackerViewY,VictimSteamId,VictimName,VictimTeam,VictimSide,VictimX,VictimY,VictimZ,VictimAreaId,VictimAreaName,VictimViewX,VictimViewY,Weapon,HpDamage,HpDamageTaken,ArmorDamage,ArmorDamageTaken,HitGroup,RoundNum,MatchId,MapName
0,5831,16.700787401574804,7.656119803420227e+16,s1mple,NAVI,T,80.8812255859375,-1425.8619384765625,-175.96875,15.0,Close A Ramp,250.279541015625,359.2529296875,76561197996370184,VINI,FURIA,CT,-93.58450317382812,-1930.0885009765625,-167.9779510498047,460,A Site,66.346435546875,0.263671875,p250,21,21,6,6,Chest,1,furia-vs-natus-vincere-m3-mirage,de_mirage
1,5888,17.1496062992126,7.656119799637018e+16,VINI,FURIA,CT,-44.40418243408203,-1947.25732421875,-167.9779510498047,1808.0,Under balcony,76.4593505859375,1.3018798828125,76561198034202275,s1mple,NAVI,T,70.43415069580078,-1422.8072509765625,-175.96875,15,Close A Ramp,255.443115234375,359.7967529296875,USP-S,126,100,0,0,Head,1,furia-vs-natus-vincere-m3-mirage,de_mirage
2,6268,20.141732283464567,7.65611980440451e+16,electronic,NAVI,T,228.79295349121094,-1538.04541015625,-175.96875,60.0,A Ramp,204.884033203125,359.857177734375,76561197996370184,VINI,FURIA,CT,-107.2276611328125,-1677.837646484375,-167.9779510498047,4,A Site,17.0343017578125,1.549072265625,Glock-18,12,12,7,7,Chest,1,furia-vs-natus-vincere-m3-mirage,de_mirage
3,6286,20.283464566929133,7.656119816497056e+16,yuurih,FURIA,CT,-1006.3175048828125,-2451.938232421875,-167.96875,56.0,Ticketbooth ,36.36474609375,0.439453125,76561198044045107,electronic,NAVI,T,218.36209106445312,-1528.42626953125,-175.96875,60,A Ramp,200.093994140625,359.27490234375,USP-S,26,26,0,0,Chest,1,furia-vs-natus-vincere-m3-mirage,de_mirage
4,6329,20.62204724409449,7.656119799637018e+16,VINI,FURIA,CT,-96.20592498779297,-1677.3427734375,-167.9779510498047,4.0,A Site,22.049560546875,2.1478271484375,76561198044045107,electronic,NAVI,T,248.23519897460938,-1543.0699462890625,-175.96875,60,A Ramp,202.5604248046875,1.6424560546875,USP-S,131,74,0,0,Head,1,furia-vs-natus-vincere-m3-mirage,de_mirage
5,6633,23.015748031496063,7.656119812122048e+16,Perfecto,NAVI,T,-515.5839233398438,-1388.7545166015625,-117.75936889648438,2504.0,Bottom Stairs,253.267822265625,3.18603515625,76561198164970560,yuurih,FURIA,CT,-816.0275268554688,-2397.152099609375,-170.84832763671875,24,Ticketbooth ,73.212890625,357.1435546875,Glock-18,85,85,0,0,Head,1,furia-vs-natus-vincere-m3-mirage,de_mirage
6,6908,25.181102362204726,7.656119814620707e+16,Boombl4,NAVI,T,-771.143310546875,-1726.5594482421875,-178.2245330810547,2.0,A Site Exposed to Stairs Connector Cat,10.733642578125,359.2694091796875,76561197996370184,VINI,FURIA,CT,-334.66748046875,-1641.5517578125,-167.96875,454,Sandwhich,174.0948486328125,358.92333984375,Glock-18,12,12,6,6,Unknown,1,furia-vs-natus-vincere-m3-mirage,de_mirage
7,6966,25.637795275590552,7.656119814620707e+16,Boombl4,NAVI,T,-770.0228271484375,-1780.4853515625,-179.96875,2.0,A Site Exposed to Stairs Connector Cat,14.501953125,359.2364501953125,76561197996370184,VINI,FURIA,CT,-348.40435791015625,-1665.5631103515625,-167.96875,187,Sandwhich,194.3096923828125,1.9061279296875,Glock-18,12,12,6,6,Chest,1,furia-vs-natus-vincere-m3-mirage,de_mirage
8,6991,25.834645669291337,7.656119799637018e+16,VINI,FURIA,CT,-350.117431640625,-1660.5313720703125,-167.96875,187.0,Sandwhich,196.732177734375,2.713623046875,76561198146207066,Boombl4,NAVI,T,-781.8917236328125,-1786.9617919921875,-179.96875,1109,Bench Closer To Jungle,16.6058349609375,359.395751953125,p250,22,22,6,6,Chest,1,furia-vs-natus-vincere-m3-mirage,de_mirage
9,7011,25.992125984251967,7.656119799637018e+16,VINI,FURIA,CT,-351.45819091796875,-1656.0478515625,-167.96875,187.0,Sandwhich,196.9244384765625,3.614501953125,76561198146207066,Boombl4,NAVI,T,-783.0090942382812,-1776.0562744140625,-179.96875,1109,Bench Closer To Jungle,14.853515625,359.747314453125,p250,22,22,6,6,Chest,1,furia-vs-natus-vincere-m3-mirage,de_mirage
