,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
0,Default A,s1mple,0,0,0,0,25,-25,CT,78
1,Default A,s1mple,1,1,0,73,12,61,T,78
2,A Site,s1mple,0,1,-1,15,19,-4,CT,78
3,A Site,s1mple,1,3,-2,108,289,-181,T,78
4,Mid Close Connector,s1mple,0,1,-1,54,100,-46,CT,78
5,Mid Close Connector,s1mple,1,1,0,100,100,0,T,78
6,Ticketbooth ,s1mple,8,2,6,664,357,307,CT,78
7,Ticketbooth ,s1mple,0,0,0,0,0,0,T,78
8,CT Side Apps,s1mple,0,0,0,0,0,0,CT,78
9,CT Side Apps,s1mple,1,3,-2,100,300,-200,T,78
10,CT Deep Catwalk Mid peek,s1mple,0,0,0,0,0,0,CT,78
11,CT Deep Catwalk Mid peek,s1mple,0,1,-1,0,100,-100,T,78
12,Snipers Palace Peek,s1mple,0,2,-2,23,200,-177,CT,78
13,Snipers Palace Peek,s1mple,0,1,-1,0,100,-100,T,78
14,Triple Box,s1mple,0,2,-2,0,134,-134,CT,78
15,Triple Box,s1mple,0,2,-2,78,144,-66,T,78
16,Snipers Nest,s1mple,2,1,1,163,100,63,CT,78
17,Snipers Nest,s1mple,1,0,1,100,0,100,T,78
18,Top Balcony,s1mple,2,0,2,114,0,114,CT,78
19,Top Balcony,s1mple,3,1,2,338,184,154,T,78
20,CT Outside Market,s1mple,1,2,-1,100,150,-50,CT,78
21,CT Outside Market,s1mple,0,0,0,0,0,0,T,78
22,Leftside Connector,s1mple,0,0,0,0,0,0,CT,78
23,Leftside Connector,s1mple,1,0,1,100,0,100,T,78
24,Deep Jungle,s1mple,3,0,3,305,0,305,CT,78
25,Deep Jungle,s1mple,0,1,-1,0,100,-100,T,78
26,Left Side Platform,s1mple,1,0,1,100,0,100,CT,78
27,Left Side Platform,s1mple,1,2,-1,100,174,-74,T,78
28,T Palace Stairs Peek,s1mple,0,1,-1,0,100,-100,CT,78
29,T Palace Stairs Peek,s1mple,0,1,-1,0,100,-100,T,78
30,Sandwhich,s1mple,0,0,0,0,0,0,CT,78
31,Sandwhich,s1mple,0,1,-1,130,100,30,T,78
32,Bench,s1mple,0,1,-1,0,76,-76,CT,78
33,Bench,s1mple,0,0,0,0,26,-26,T,78
34,Close A Ramp,s1mple,1,0,1,100,81,19,CT,78
35,Close A Ramp,s1mple,0,1,-1,74,100,-26,T,78
36,A Ramp,s1mple,0,0,0,0,0,0,CT,78
37,A Ramp,s1mple,2,2,0,165,259,-94,T,78
38,Market Window Peek,s1mple,2,1,1,234,100,134,CT,78
39,Market Window Peek,s1mple,0,0,0,0,0,0,T,78
40,market,s1mple,0,1,-1,0,100,-100,CT,78
41,market,s1mple,1,0,1,40,0,40,T,78
42,Top Mid Left Side,s1mple,0,0,0,0,0,0,CT,78
43,Top Mid Left Side,s1mple,0,0,0,146,22,124,T,78
44,Catwalk Connector Peek,s1mple,0,0,0,0,0,0,CT,78
45,Catwalk Connector Peek,s1mple,2,1,1,215,149,66,T,78
46,Top Mid Boxes Left Side Peek,s1mple,0,0,0,0,0,0,CT,78
47,Top Mid Boxes Left Side Peek,s1mple,1,1,0,41,100,-59,T,78
48,Bottom Stairs,s1mple,2,0,2,158,0,158,CT,78
49,Bottom Stairs,s1mple,2,0,2,113,51,62,T,78
50,Underpass,s1mple,0,1,-1,0,100,-100,CT,78
51,Underpass,s1mple,0,0,0,0,0,0,T,78
52,Deep Catwalk,s1mple,1,1,0,100,134,-34,CT,78
53,Deep Catwalk,s1mple,2,0,2,265,91,174,T,78
54,Top STairs,s1mple,1,0,1,7,0,7,CT,78
55,Top STairs,s1mple,0,0,0,0,0,0,T,78
56,Tetris,s1mple,0,0,0,0,0,0,CT,78
57,Tetris,s1mple,1,0,1,99,15,84,T,78
58,Close Market door,s1mple,1,1,0,115,124,-9,CT,78
59,Close Market door,s1mple,0,0,0,0,0,0,T,78
60,Top Connector,s1mple,0,0,0,0,0,0,CT,78
61,Top Connector,s1mple,0,0,0,22,27,-5,T,78
62,Deep T Apps,s1mple,0,0,0,0,0,0,CT,78
63,Deep T Apps,s1mple,1,0,1,73,98,-25,T,78
64,Close Right Market Window,s1mple,0,1,-1,0,100,-100,CT,78
65,Close Right Market Window,s1mple,0,0,0,0,0,0,T,78
66,CT Left Side,s1mple,1,0,1,95,5,90,CT,78
67,CT Left Side,s1mple,0,0,0,0,0,0,T,78
68,Under window B apps,s1mple,0,0,0,0,0,0,CT,78
69,Under window B apps,s1mple,0,0,0,0,0,0,T,78
70,Firebox,s1mple,0,0,0,0,0,0,CT,78
71,Firebox,s1mple,1,0,1,100,39,61,T,78
72,Safe Plant B Site,s1mple,0,0,0,0,0,0,CT,78
73,Safe Plant B Site,s1mple,0,0,0,0,0,0,T,78
74,Right Side Connector,s1mple,1,0,1,100,0,100,CT,78
75,Right Side Connector,s1mple,2,0,2,200,42,158,T,78
76,Murder Hole,s1mple,1,0,1,113,0,113,CT,78
77,Murder Hole,s1mple,0,1,-1,0,58,-58,T,78
78,Right Side Snipers Nest,s1mple,0,1,-1,0,100,-100,CT,78
79,Right Side Snipers Nest,s1mple,0,0,0,0,0,0,T,78
80,B Bombsite Cross to Catwalk,s1mple,0,0,0,0,0,0,CT,78
81,B Bombsite Cross to Catwalk,s1mple,0,0,0,0,0,0,T,78
82,T Spawn A Ramp,s1mple,0,0,0,0,0,0,CT,78
83,T Spawn A Ramp,s1mple,0,0,0,0,0,0,T,78
84,Right Side Platform,s1mple,0,1,-1,0,100,-100,CT,78
85,Right Side Platform,s1mple,0,0,0,0,3,-3,T,78
86,Close Left CT A Ramp,s1mple,0,0,0,0,0,0,CT,78
87,Close Left CT A Ramp,s1mple,2,0,2,264,0,264,T,78
88,Close Market Window,s1mple,0,1,-1,0,100,-100,CT,78
89,Close Market Window,s1mple,0,0,0,0,0,0,T,78
90,B site Market Plant,s1mple,0,0,0,0,0,0,CT,78
91,B site Market Plant,s1mple,0,0,0,0,0,0,T,78
92,Bottom Mid Ladder Room Peek,s1mple,0,1,-1,58,100,-42,CT,78
93,Bottom Mid Ladder Room Peek,s1mple,0,0,0,0,0,0,T,78
94,Back Right B Site from T's Perspective,s1mple,0,0,0,0,0,0,CT,78
95,Back Right B Site from T's Perspective,s1mple,0,1,-1,0,74,-74,T,78
96,Ladder Room Catwalk Side,s1mple,0,0,0,0,0,0,CT,78
97,Ladder Room Catwalk Side,s1mple,1,1,0,100,144,-44,T,78
98,Back Left B Site From T's' Perspective,s1mple,0,0,0,0,0,0,CT,78
99,Back Left B Site From T's' Perspective,s1mple,0,0,0,0,0,0,T,78
100,Catwalk T Aparments Peek,s1mple,1,0,1,142,42,100,CT,78
101,Catwalk T Aparments Peek,s1mple,1,0,1,84,26,58,T,78
102,Deep CT,s1mple,0,0,0,21,0,21,CT,78
103,Deep CT,s1mple,0,0,0,0,0,0,T,78
104,Triple Box,b1t,1,1,0,100,100,0,CT,78
105,Triple Box,b1t,2,2,0,174,124,50,T,78
106,Default A,b1t,0,1,-1,0,92,-92,CT,78
107,Default A,b1t,0,1,-1,32,32,0,T,78
108,Deep Jungle,b1t,0,0,0,27,0,27,CT,78
109,Deep Jungle,b1t,3,2,1,340,175,165,T,78
110,Top Balcony,b1t,0,0,0,0,0,0,CT,78
111,Top Balcony,b1t,0,0,0,0,0,0,T,78
112,Mid Close Connector,b1t,0,0,0,0,0,0,CT,78
113,Mid Close Connector,b1t,1,2,-1,194,186,8,T,78
114,Snipers Palace Peek,b1t,0,0,0,0,0,0,CT,78
115,Snipers Palace Peek,b1t,1,2,-1,140,138,2,T,78
116,CT Catwalk,b1t,1,1,0,249,100,149,CT,78
117,CT Catwalk,b1t,0,2,-2,109,173,-64,T,78
118,Ticketbooth ,b1t,1,0,1,123,0,123,CT,78
119,Ticketbooth ,b1t,0,0,0,0,0,0,T,78
120,Left Side Platform,b1t,0,1,-1,22,75,-53,CT,78
121,Left Side Platform,b1t,0,1,-1,3,100,-97,T,78
122,CT Side Apps,b1t,0,0,0,0,0,0,CT,78
123,CT Side Apps,b1t,0,1,-1,16,181,-165,T,78
124,CT Deep Catwalk Mid peek,b1t,0,3,-3,27,300,-273,CT,78
125,CT Deep Catwalk Mid peek,b1t,0,0,0,34,0,34,T,78
126,Close A Ramp,b1t,0,0,0,0,0,0,CT,78
127,Close A Ramp,b1t,1,0,1,111,0,111,T,78
128,B Bombsite Cross to Catwalk,b1t,0,0,0,0,0,0,CT,78
129,B Bombsite Cross to Catwalk,b1t,0,0,0,0,0,0,T,78
130,Back B Site Peeking Apps/Plat,b1t,1,1,0,36,74,-38,CT,78
131,Back B Site Peeking Apps/Plat,b1t,0,0,0,0,0,0,T,78
132,CT Outside Market,b1t,0,1,-1,95,100,-5,CT,78
133,CT Outside Market,b1t,0,0,0,0,0,0,T,78
134,Top Mid Left Side,b1t,0,0,0,0,0,0,CT,78
