,RoundNum,MatchId,MapName,StartTick,FreezeTimeEnd,EndTick,EndOfficialTick,TScore,CTScore,WinningSide,WinningTeam,LosingTeam,RoundEndReason,CTStartEqVal,CTBuyType,TStartEqVal,TBuyType
0,1,furia-vs-natus-vincere-m3-mirage,de_mirage,1150,3710,10786,10790,0,0,T,NAVI,FURIA,TerroristsWin,4400,Pistol,4550,Pistol
1,2,furia-vs-natus-vincere-m3-mirage,de_mirage,11425,13985,24860,24865,1,0,T,NAVI,FURIA,TerroristsWin,1400,Full Eco,19950,Full Buy
2,3,furia-vs-natus-vincere-m3-mirage,de_mirage,25500,28060,37350,37355,2,0,T,NAVI,FURIA,TargetBombed,23200,Full Buy,22600,Full Buy
3,4,furia-vs-natus-vincere-m3-mirage,de_mirage,37990,40550,50852,50858,3,0,T,NAVI,FURIA,TerroristsWin,14400,Half Buy,26550,Full Buy
4,5,furia-vs-natus-vincere-m3-mirage,de_mirage,51493,54053,67912,67917,4,0,CT,FURIA,NAVI,CTWin,27250,Full Buy,26550,Full Buy
5,6,furia-vs-natus-vincere-m3-mirage,de_mirage,68552,71112,86856,86861,4,1,T,NAVI,FURIA,TargetBombed,24850,Full Buy,27250,Full Buy
6,7,furia-vs-natus-vincere-m3-mirage,de_mirage,87496,94438,103095,103100,5,1,CT,FURIA,NAVI,BombDefused,24800,Full Buy,27250,Full Buy
7,8,furia-vs-natus-vincere-m3-mirage,de_mirage,103735,111589,118239,118243,5,2,T,NAVI,FURIA,TerroristsWin,29650,Full Buy,22250,Full Buy
8,9,furia-vs-natus-vincere-m3-mirage,de_mirage,118878,121438,126578,126583,6,2,T,NAVI,FURIA,TerroristsWin,5400,Eco,26350,Full Buy
9,10,furia-vs-natus-vincere-m3-mirage,de_mirage,127218,133618,147070,147075,7,2,CT,FURIA,NAVI,CTWin,26550,Full Buy,27150,Full Buy
10,11,furia-vs-natus-vincere-m3-mirage,de_mirage,147710,150270,160019,160024,7,3,T,NAVI,FURIA,TargetBombed,21900,Half Buy,27250,Full Buy
11,12,furia-vs-natus-vincere-m3-mirage,de_mirage,160659,163219,177478,177483,8,3,T,NAVI,FURIA,TerroristsWin,8800,Half Buy,27550,Full Buy
12,13,furia-vs-natus-vincere-m3-mirage,de_mirage,178118,180678,197327,197332,9,3,T,NAVI,FURIA,TerroristsWin,24950,Full Buy,27850,Full Buy
13,14,furia-vs-natus-vincere-m3-mirage,de_mirage,197967,200527,207980,207987,10,3,T,NAVI,FURIA,TerroristsWin,12050,Half Buy,28250,Full Buy
14,15,furia-vs-natus-vincere-m3-mirage,de_mirage,208622,211182,217885,217506,11,3,T,NAVI,FURIA,TerroristsWin,26750,Full Buy,29350,Full Buy
15,16,furia-vs-natus-vincere-m3-mirage,de_mirage,218141,245630,249792,249800,3,12,T,FURIA,NAVI,TerroristsWin,4400,Pistol,4450,Pistol
16,17,furia-vs-natus-vincere-m3-mirage,de_mirage,250435,252995,264548,264553,4,12,T,FURIA,NAVI,TerroristsWin,11750,Half Buy,19200,Full Buy
17,18,furia-vs-natus-vincere-m3-mirage,de_mirage,265188,267748,271510,271515,5,12,T,FURIA,NAVI,TerroristsWin,3000,Eco,21200,Full Buy
18,19,furia-vs-natus-vincere-m3-mirage,de_mirage,272150,274710,283935,283940,6,12,CT,NAVI,FURIA,CTWin,26000,Full Buy,25600,Full Buy
19,20,furia-vs-natus-vincere-m3-mirage,de_mirage,284575,291672,302043,302048,6,13,CT,NAVI,FURIA,CTWin,25800,Full Buy,26200,Full Buy
20,21,furia-vs-natus-vincere-m3-mirage,de_mirage,302683,305243,317301,317306,6,14,CT,NAVI,FURIA,CTWin,32250,Full Buy,11050,Half Buy
21,22,furia-vs-natus-vincere-m3-mirage,de_mirage,317941,328311,328311,343037,6,15,CT,NAVI,FURIA,CTWin,32900,Full Buy,13350,Half Buy
22,1,furia-vs-pain-m2-mirage,de_mirage,0,0,1150,1155,0,0,CT,paiN,FURIA,TargetSaved,162350,Pistol,86100,Pistol
23,2,furia-vs-pain-m2-mirage,de_mirage,12053,14613,21755,21761,0,1,T,FURIA,paiN,TerroristsWin,11600,Half Buy,18450,Half Buy
24,3,furia-vs-pain-m2-mirage,de_mirage,22396,24956,31515,31521,1,1,T,FURIA,paiN,TerroristsWin,1500,Full Eco,21750,Full Buy
25,4,furia-vs-pain-m2-mirage,de_mirage,32156,34716,45125,45130,2,1,T,FURIA,paiN,TargetBombed,27000,Full Buy,23650,Full Buy
26,5,furia-vs-pain-m2-mirage,de_mirage,45765,48325,57946,57952,3,1,CT,paiN,FURIA,CTWin,25750,Full Buy,28400,Full Buy
27,6,furia-vs-pain-m2-mirage,de_mirage,58587,61147,79716,79721,3,2,T,FURIA,paiN,TargetBombed,31150,Full Buy,27150,Full Buy
28,7,furia-vs-pain-m2-mirage,de_mirage,80356,82916,97636,97641,4,2,CT,paiN,FURIA,TargetSaved,28500,Full Buy,26650,Full Buy
29,8,furia-vs-pain-m2-mirage,de_mirage,98276,100836,113959,113964,4,3,T,FURIA,paiN,TerroristsWin,33400,Full Buy,20100,Full Buy
30,9,furia-vs-pain-m2-mirage,de_mirage,114599,117159,126876,126882,5,3,T,FURIA,paiN,TerroristsWin,8400,Half Buy,30550,Full Buy
31,10,furia-vs-pain-m2-mirage,de_mirage,127517,130077,141484,141489,6,3,T,FURIA,paiN,TerroristsWin,27250,Full Buy,31850,Full Buy
32,11,furia-vs-pain-m2-mirage,de_mirage,142124,144684,160912,160917,7,3,T,FURIA,paiN,TargetBombed,6050,Half Buy,28450,Full Buy
33,12,furia-vs-pain-m2-mirage,de_mirage,161552,169086,179030,179035,8,3,CT,paiN,FURIA,CTWin,31150,Full Buy,28350,Full Buy
34,13,furia-vs-pain-m2-mirage,de_mirage,179670,182230,197294,197299,8,4,T,FURIA,paiN,TargetBombed,26650,Full Buy,27150,Full Buy
35,14,furia-vs-pain-m2-mirage,de_mirage,197934,200494,213354,213360,9,4,CT,paiN,FURIA,CTWin,8300,Half Buy,27150,Full Buy
36,15,furia-vs-pain-m2-mirage,de_mirage,213995,216555,232698,232319,9,5,T,FURIA,paiN,TerroristsWin,34650,Full Buy,32300,Full Buy
37,16,furia-vs-pain-m2-mirage,de_mirage,232954,257580,266114,266120,5,10,T,paiN,FURIA,TerroristsWin,4450,Pistol,4450,Pistol
38,17,furia-vs-pain-m2-mirage,de_mirage,266755,269315,280118,280123,6,10,T,paiN,FURIA,TargetBombed,1000,Full Eco,20250,Full Buy
39,18,furia-vs-pain-m2-mirage,de_mirage,280758,283318,296630,296635,7,10,T,paiN,FURIA,TargetBombed,23750,Full Buy,23450,Full Buy
40,19,furia-vs-pain-m2-mirage,de_mirage,297270,299830,315364,315369,8,10,T,paiN,FURIA,TargetBombed,13850,Half Buy,27350,Full Buy
41,20,furia-vs-pain-m2-mirage,de_mirage,316004,322547,332288,332294,9,10,T,paiN,FURIA,TerroristsWin,31600,Full Buy,27650,Full Buy
42,21,furia-vs-pain-m2-mirage,de_mirage,332929,344036,362300,362305,10,10,T,paiN,FURIA,TargetBombed,17250,Half Buy,27050,Full Buy
43,22,furia-vs-pain-m2-mirage,de_mirage,362940,365500,376521,376528,11,10,T,paiN,FURIA,TerroristsWin,30750,Full Buy,27550,Full Buy
44,23,furia-vs-pain-m2-mirage,de_mirage,377163,379723,396888,396893,12,10,T,paiN,FURIA,TargetBombed,26800,Full Buy,27150,Full Buy
