,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
0,Lane Side,Ax1Le,5,2,3,523,200,323,CT,160
1,Lane Side,Ax1Le,2,2,0,323,378,-55,T,160
2,Top Balcony ,Ax1Le,4,4,0,647,481,166,CT,160
3,Top Balcony ,Ax1Le,5,6,-1,458,532,-74,T,160
4,Top Mid Chokepoint,Ax1Le,2,1,1,336,176,160,CT,160
5,Top Mid Chokepoint,Ax1Le,2,0,2,226,92,134,T,160
6,Top Mid Lane Side ,Ax1Le,2,0,2,218,44,174,CT,160
7,Top Mid Lane Side ,Ax1Le,0,3,-3,183,213,-30,T,160
8,Chokepoint Entering B,Ax1Le,4,1,3,193,111,82,CT,160
9,Chokepoint Entering B,Ax1Le,3,1,2,256,30,226,T,160
10,Pit Peek Towards Lane,Ax1Le,11,3,8,933,434,499,CT,160
11,Pit Peek Towards Lane,Ax1Le,1,1,0,95,50,45,T,160
12,CT Banana Half Wall Side,Ax1Le,1,1,0,100,49,51,CT,160
13,CT Banana Half Wall Side,Ax1Le,3,2,1,188,267,-79,T,160
14,Top Mid Arch Side,Ax1Le,1,0,1,148,0,148,CT,160
15,Top Mid Arch Side,Ax1Le,3,2,1,221,178,43,T,160
16,B Site,Ax1Le,0,1,-1,0,152,-152,CT,160
17,B Site,Ax1Le,3,1,2,232,163,69,T,160
18,Arch Side,Ax1Le,1,2,-1,87,227,-140,CT,160
19,Arch Side,Ax1Le,3,0,3,276,80,196,T,160
20,Lane Patio,Ax1Le,1,0,1,115,0,115,CT,160
21,Lane Patio,Ax1Le,0,1,-1,0,100,-100,T,160
22,Boiler Room,Ax1Le,1,0,1,100,7,93,CT,160
23,Boiler Room,Ax1Le,0,1,-1,0,129,-129,T,160
24,Deep Apps Past Hallway,Ax1Le,2,1,1,264,120,144,CT,160
25,Deep Apps Past Hallway,Ax1Le,1,2,-1,124,228,-104,T,160
26,Pit,Ax1Le,7,4,3,734,400,334,CT,160
27,Pit,Ax1Le,3,1,2,251,99,152,T,160
28,A Site,Ax1Le,5,0,5,319,112,207,CT,160
29,A Site,Ax1Le,0,0,0,0,0,0,T,160
30,Grill,Ax1Le,0,0,0,0,0,0,CT,160
31,Grill,Ax1Le,0,2,-2,54,123,-69,T,160
32,Pit Below Balcony,Ax1Le,4,2,2,386,207,179,CT,160
33,Pit Below Balcony,Ax1Le,1,0,1,26,0,26,T,160
34,Boiler Side Stairs,Ax1Le,3,1,2,218,132,86,CT,160
35,Boiler Side Stairs,Ax1Le,0,1,-1,35,104,-69,T,160
36,SecondMid,Ax1Le,0,0,0,0,2,-2,CT,160
37,SecondMid,Ax1Le,2,0,2,215,28,187,T,160
38,CT Peek Towards B Choke,Ax1Le,2,2,0,228,283,-55,CT,160
39,CT Peek Towards B Choke,Ax1Le,0,0,0,0,0,0,T,160
40,Outside Library,Ax1Le,0,0,0,0,0,0,CT,160
41,Outside Library,Ax1Le,0,0,0,0,0,0,T,160
42,Banana,Ax1Le,2,0,2,84,0,84,CT,160
43,Banana,Ax1Le,1,1,0,141,99,42,T,160
44,A Bombsite Close Left,Ax1Le,2,1,1,78,70,8,CT,160
