,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
0,Top Mid Left Side,Syrson,7,14,-7,885,1529,-644,2,0,2,200,0,200,5,14,-9,685,1529,-844,470
1,Bottom Stairs,Syrson,10,11,-1,905,1368,-463,6,6,0,630,772,-142,4,5,-1,275,596,-321,470
2,Ticketbooth ,Syrson,16,12,4,1470,1320,150,14,11,3,1384,1196,188,2,1,1,86,124,-38,470
3,CT Side Apps,Syrson,21,16,5,2529,1687,842,4,2,2,449,196,253,17,14,3,2080,1491,589,470
4,Snipers Nest,Syrson,10,7,3,828,876,-48,10,5,5,820,692,128,0,2,-2,8,184,-176,470
5,CT Catwalk,Syrson,4,8,-4,316,747,-431,2,2,0,102,200,-98,2,6,-4,214,547,-333,470
6,Close Market door,Syrson,4,7,-3,296,630,-334,4,6,-2,287,530,-243,0,1,-1,9,100,-91,470
7,A Ramp,Syrson,8,9,-1,1070,1016,54,1,1,0,100,20,80,7,8,-1,970,996,-26,470
8,T Palace Stairs Peek,Syrson,5,6,-1,335,609,-274,3,1,2,214,126,88,2,5,-3,121,483,-362,470
9,Default A,Syrson,2,5,-3,260,452,-192,1,3,-2,160,327,-167,1,2,-1,100,125,-25,470
10,Triple Box,Syrson,7,4,3,589,640,-51,3,3,0,263,448,-185,4,1,3,326,192,134,470
11,Deep Catwalk,Syrson,15,7,8,1286,1031,255,5,3,2,592,423,169,10,4,6,694,608,86,470
12,CT Deep Catwalk Mid peek,Syrson,17,9,8,1528,938,590,2,4,-2,214,332,-118,15,5,10,1314,606,708,470
13,Bottom Connector,Syrson,8,5,3,807,756,51,3,0,3,327,45,282,5,5,0,480,711,-231,470
14,Mid Close Connector,Syrson,5,4,1,528,652,-124,3,3,0,266,378,-112,2,1,1,262,274,-12,470
15,Top Connector,Syrson,4,5,-1,412,549,-137,3,2,1,127,214,-87,1,3,-2,285,335,-50,470
16,Market Window Peek,Syrson,3,1,2,330,100,230,3,0,3,296,0,296,0,1,-1,34,100,-66,470
17,Top Mid towards Apps,Syrson,2,4,-2,224,380,-156,1,1,0,7,36,-29,1,3,-2,217,344,-127,470
18,A Site Exposed to Stairs Connector Cat,Syrson,8,3,5,644,340,304,7,0,7,481,47,434,1,3,-2,163,293,-130,470
19,Deep T Apps,Syrson,4,3,1,416,684,-268,0,0,0,0,68,-68,4,3,1,416,616,-200,470
20,Close A Ramp,Syrson,1,1,0,100,142,-42,0,0,0,0,0,0,1,1,0,100,142,-42,470
21,Top Mid Catwalk,Syrson,2,3,-1,248,258,-10,0,0,0,0,0,0,2,3,-1,248,258,-10,470
22,B Site Default Plant,Syrson,0,5,-5,148,578,-430,0,1,-1,87,100,-13,0,4,-4,61,478,-417,470
23,Deep Jungle,Syrson,10,5,5,963,603,360,4,2,2,454,291,163,6,3,3,509,312,197,470
24,Deep CT,Syrson,4,5,-1,457,537,-80,4,4,0,418,414,4,0,1,-1,39,123,-84,470
25,Catwalk Connector Peek,Syrson,20,7,13,1871,863,1008,3,1,2,228,100,128,17,6,11,1643,763,880,470
26,Bench,Syrson,3,4,-1,347,280,67,0,1,-1,78,100,-22,3,3,0,269,180,89,470
27,Catwalk T Aparments Peek,Syrson,10,5,5,821,651,170,4,2,2,299,294,5,6,3,3,522,357,165,470
28,Top Balcony,Syrson,6,3,3,584,330,254,2,0,2,100,30,70,4,3,1,484,300,184,470
29,Right Side Connector,Syrson,16,6,10,1512,656,856,14,4,10,1334,529,805,2,2,0,178,127,51,470
30,T Spawn towards Apps,Syrson,0,5,-5,0,443,-443,0,3,-3,0,290,-290,0,2,-2,0,153,-153,470
31,market,Syrson,3,4,-1,323,345,-22,2,2,0,195,181,14,1,2,-1,128,164,-36,470
