,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
0,Ticketbooth ,KSCERATO,13,13,0,1432,1419,13,8,11,-3,1069,1302,-233,5,2,3,363,117,246,452
1,CT Side Apps,KSCERATO,17,13,4,2063,1763,300,2,2,0,321,327,-6,15,11,4,1742,1436,306,452
2,A Site,KSCERATO,5,7,-2,549,697,-148,0,2,-2,89,167,-78,5,5,0,460,530,-70,452
3,CT Catwalk,KSCERATO,4,7,-3,769,771,-2,3,5,-2,671,610,61,1,2,-1,98,161,-63,452
4,Left Side Platform,KSCERATO,17,7,10,1929,727,1202,8,2,6,973,244,729,9,5,4,956,483,473,452
5,Bottom Stairs,KSCERATO,9,12,-3,799,1057,-258,6,5,1,457,534,-77,3,7,-4,342,523,-181,452
6,Underneath B apps plat,KSCERATO,5,10,-5,746,606,140,1,3,-2,343,186,157,4,7,-3,403,420,-17,452
7,Default A,KSCERATO,5,7,-2,553,769,-216,1,2,-1,370,288,82,4,5,-1,183,481,-298,452
8,Top Balcony,KSCERATO,8,8,0,874,748,126,1,3,-2,148,298,-150,7,5,2,726,450,276,452
9,Mid Close Connector,KSCERATO,6,9,-3,729,959,-230,1,2,-1,154,192,-38,5,7,-2,575,767,-192,452
10,B Bombsite Cross to Catwalk,KSCERATO,4,5,-1,328,541,-213,0,2,-2,0,116,-116,4,3,1,328,425,-97,452
11,CT Deep Catwalk Mid peek,KSCERATO,6,10,-4,1118,1350,-232,4,5,-1,716,697,19,2,5,-3,402,653,-251,452
12,Deep T Apps,KSCERATO,12,9,3,1591,1754,-163,5,2,3,468,201,267,7,7,0,1123,1553,-430,452
13,Snipers Palace Peek,KSCERATO,4,8,-4,362,1037,-675,4,4,0,352,631,-279,0,4,-4,10,406,-396,452
14,Triple Box,KSCERATO,11,2,9,690,460,230,8,0,8,370,33,337,3,2,1,320,427,-107,452
15,Deep Jungle,KSCERATO,21,9,12,2061,1321,740,12,7,5,1316,854,462,9,2,7,745,467,278,452
16,Catwalk Plant B Site,KSCERATO,9,11,-2,855,951,-96,6,6,0,727,602,125,3,5,-2,128,349,-221,452
17,A Ramp,KSCERATO,7,7,0,1010,873,137,1,0,1,100,27,73,6,7,-1,910,846,64,452
18,A Site Exposed to Stairs Connector Cat,KSCERATO,9,6,3,607,431,176,6,1,5,374,100,274,3,5,-2,233,331,-98,452
19,Arch,KSCERATO,7,4,3,709,345,364,6,2,4,566,226,340,1,2,-1,143,119,24,452
20,Back B Site Peeking Apps/Plat,KSCERATO,9,4,5,1142,387,755,4,2,2,657,160,497,5,2,3,485,227,258,452
