,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
0,Bottom Stairs,Hunter,19,16,3,0,0,0,6,5,1,0,0,0,13,11,2,0,0,0,417
1,Deep Catwalk,Hunter,14,11,3,0,0,0,10,9,1,0,0,0,4,2,2,0,0,0,417
2,Ticketbooth ,Hunter,21,14,7,0,0,0,10,7,3,0,0,0,11,7,4,0,0,0,417
3,Snipers Nest,Hunter,8,14,-6,0,0,0,2,5,-3,0,0,0,6,9,-3,0,0,0,417
4,CT Side Apps,Hunter,9,10,-1,0,0,0,1,0,1,0,0,0,8,10,-2,0,0,0,417
5,Underpass,Hunter,13,11,2,0,0,0,2,0,2,0,0,0,11,11,0,0,0,0,417
6,Snipers Palace Peek,Hunter,9,9,0,0,0,0,4,4,0,0,0,0,5,5,0,0,0,0,417
7,Default A,Hunter,8,7,1,0,0,0,3,1,2,0,0,0,5,6,-1,0,0,0,417
8,Deep Jungle,Hunter,17,6,11,0,0,0,7,2,5,0,0,0,10,4,6,0,0,0,417
9,Arch,Hunter,15,18,-3,0,0,0,14,14,0,0,0,0,1,4,-3,0,0,0,417
10,A Site Exposed to Stairs Connector Cat,Hunter,3,6,-3,0,0,0,0,1,-1,0,0,0,3,5,-2,0,0,0,417
11,Mid Close Connector,Hunter,3,7,-4,0,0,0,0,3,-3,0,0,0,3,4,-1,0,0,0,417
12,Deep T Apps,Hunter,9,9,0,0,0,0,4,3,1,0,0,0,5,6,-1,0,0,0,417
13,CT Catwalk,Hunter,12,8,4,0,0,0,7,6,1,0,0,0,5,2,3,0,0,0,417
14,CT Outside Market,Hunter,11,7,4,0,0,0,7,5,2,0,0,0,4,2,2,0,0,0,417
15,CT Deep Catwalk Mid peek,Hunter,8,8,0,0,0,0,7,8,-1,0,0,0,1,0,1,0,0,0,417
16,Catwalk T Aparments Peek,Hunter,5,7,-2,0,0,0,3,6,-3,0,0,0,2,1,1,0,0,0,417
17,Tetris,Hunter,5,10,-5,0,0,0,0,0,0,0,0,0,5,10,-5,0,0,0,417
18,Catwalk Connector Peek,Hunter,8,7,1,0,0,0,4,5,-1,0,0,0,4,2,2,0,0,0,417
19,Deep Palace,Hunter,6,4,2,0,0,0,3,2,1,0,0,0,3,2,1,0,0,0,417
20,Bottom Connector,Hunter,5,10,-5,0,0,0,0,3,-3,0,0,0,5,7,-2,0,0,0,417
21,Deep CT,Hunter,8,10,-2,0,0,0,6,6,0,0,0,0,2,4,-2,0,0,0,417
22,Left Side Platform,Hunter,6,4,2,0,0,0,2,2,0,0,0,0,4,2,2,0,0,0,417
23,Triple Box,Hunter,2,4,-2,0,0,0,1,1,0,0,0,0,1,3,-2,0,0,0,417
24,A Site,Hunter,4,4,0,0,0,0,2,1,1,0,0,0,2,3,-1,0,0,0,417
