,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
0,CT Side Apps,Sh1ro,12,18,-6,1599,1912,-313,0,0,0,0,0,0,12,18,-6,1599,1912,-313,340
1,Default A,Sh1ro,12,10,2,1115,1089,26,6,2,4,580,227,353,6,8,-2,535,862,-327,340
2,Ticketbooth ,Sh1ro,27,8,19,2679,1175,1504,23,7,16,2191,1010,1181,4,1,3,488,165,323,340
3,A Ramp,Sh1ro,5,8,-3,741,940,-199,0,0,0,0,0,0,5,8,-3,741,940,-199,340
4,Top Mid Left Side,Sh1ro,4,6,-2,584,795,-211,0,0,0,0,0,0,4,6,-2,584,795,-211,340
5,Left Side Platform,Sh1ro,11,13,-2,944,1150,-206,1,2,-1,131,130,1,10,11,-1,813,1020,-207,340
6,Bottom Stairs,Sh1ro,8,4,4,813,467,346,7,2,5,710,318,392,1,2,-1,103,149,-46,340
7,Triple Box,Sh1ro,5,6,-1,384,571,-187,4,4,0,379,374,5,1,2,-1,5,197,-192,340
8,A Site,Sh1ro,1,6,-5,162,605,-443,0,0,0,0,0,0,1,6,-5,162,605,-443,340
9,Deep Jungle,Sh1ro,5,2,3,411,276,135,4,2,2,311,276,35,1,0,1,100,0,100,340
10,A Site Exposed to Stairs Connector Cat,Sh1ro,3,2,1,286,138,148,2,0,2,200,0,200,1,2,-1,86,138,-52,340
11,Snipers Palace Peek,Sh1ro,6,3,3,513,389,124,5,3,2,463,389,74,1,0,1,50,0,50,340
12,Top Balcony,Sh1ro,15,3,12,1534,727,807,0,0,0,0,96,-96,15,3,12,1534,631,903,340
13,T Palace Stairs Peek,Sh1ro,14,7,7,1578,924,654,0,0,0,0,0,0,14,7,7,1578,924,654,340
14,Deep Palace,Sh1ro,8,2,6,778,545,233,2,0,2,200,0,200,6,2,4,578,545,33,340
15,B Site Default Plant,Sh1ro,5,4,1,314,318,-4,1,0,1,90,0,90,4,4,0,224,318,-94,340
16,Deep CT,Sh1ro,6,3,3,615,315,300,4,2,2,580,143,437,2,1,1,35,172,-137,340
17,Mid Close Connector,Sh1ro,2,2,0,284,119,165,0,1,-1,40,52,-12,2,1,1,244,67,177,340
18,CT Left Side,Sh1ro,2,3,-1,138,309,-171,2,3,-1,138,309,-171,0,0,0,0,0,0,340
19,Back B Site Peeking Apps/Plat,Sh1ro,0,4,-4,106,420,-314,0,1,-1,64,97,-33,0,3,-3,42,323,-281,340
20,Close Left CT A Ramp,Sh1ro,8,2,6,807,318,489,0,0,0,0,0,0,8,2,6,807,318,489,340
21,Arch,Sh1ro,0,1,-1,95,2,93,0,0,0,0,0,0,0,1,-1,95,2,93,340
22,B Bombsite Cross to Catwalk,Sh1ro,2,4,-2,266,387,-121,1,0,1,100,11,89,1,4,-3,166,376,-210,340
23,B site Market Plant,Sh1ro,1,3,-2,20,257,-237,0,0,0,0,0,0,1,3,-2,20,257,-237,340
24,Underneath B apps plat,Sh1ro,2,1,1,98,100,-2,0,1,-1,0,100,-100,2,0,2,98,0,98,340
25,Close Market door,Sh1ro,5,4,1,708,597,111,5,3,2,708,445,263,0,1,-1,0,152,-152,340
26,Close A Ramp,Sh1ro,1,3,-2,100,219,-119,0,0,0,0,0,0,1,3,-2,100,219,-119,340
27,Catwalk Connector Peek,Sh1ro,2,1,1,112,100,12,1,0,1,12,0,12,1,1,0,100,100,0,340
28,Snipers Nest,Sh1ro,7,1,6,1114,336,778,7,1,6,1114,336,778,0,0,0,0,0,0,340
29,Right Side Connector,Sh1ro,4,2,2,512,250,262,4,2,2,512,250,262,0,0,0,0,0,0,340
30,Firebox,Sh1ro,2,4,-2,102,386,-284,0,0,0,0,0,0,2,4,-2,102,386,-284,340
31,Underpass,Sh1ro,3,0,3,349,184,165,1,0,1,149,21,128,2,0,2,200,163,37,340
32,Bench,Sh1ro,0,2,-2,137,220,-83,0,0,0,0,0,0,0,2,-2,137,220,-83,340
33,Top Mid towards Apps,Sh1ro,1,3,-2,103,264,-161,0,0,0,0,0,0,1,3,-2,103,264,-161,340
34,CT Catwalk,Sh1ro,2,0,2,275,32,243,1,0,1,134,32,102,1,0,1,141,0,141,340
35,Back Left B Site From T's' Perspective,Sh1ro,6,2,4,465,173,292,4,2,2,292,173,119,2,0,2,173,0,173,340
36,Market Window Peek,Sh1ro,3,0,3,362,102,260,3,0,3,362,102,260,0,0,0,0,0,0,340
37,Catwalk T Aparments Peek,Sh1ro,8,1,7,582,162,420,3,1,2,201,103,98,5,0,5,381,59,322,340
38,Back Right B Site from T's Perspective,Sh1ro,4,2,2,417,245,172,2,2,0,200,243,-43,2,0,2,217,2,215,340
39,Bottom Connector,Sh1ro,3,2,1,316,172,144,1,1,0,100,56,44,2,1,1,216,116,100,340
40,Stairs Palace Peek,Sh1ro,7,1,6,550,251,299,7,1,6,550,251,299,0,0,0,0,0,0,340
41,Under balcony,Sh1ro,2,2,0,65,104,-39,1,2,-1,56,104,-48,1,0,1,9,0,9,340
42,Catwalk Plant B Site,Sh1ro,3,0,3,297,127,170,3,0,3,297,123,174,0,0,0,0,4,-4,340
43,T Deep apps,Sh1ro,0,1,-1,0,120,-120,0,0,0,0,20,-20,0,1,-1,0,100,-100,340
44,Bottom Mid Ladder Room Peek,Sh1ro,2,1,1,165,100,65,1,1,0,100,100,0,1,0,1,65,0,65,340
45,Deep T Apps,Sh1ro,1,1,0,206,410,-204,0,0,0,0,0,0,1,1,0,206,410,-204,340
46,Ladder Room Catwalk Side,Sh1ro,0,1,-1,0,100,-100,0,0,0,0,0,0,0,1,-1,0,100,-100,340
47,Connector behind box,Sh1ro,2,1,1,252,98,154,1,0,1,100,0,100,1,1,0,152,98,54,340
48,Top Connector,Sh1ro,1,2,-1,94,200,-106,0,0,0,0,0,0,1,2,-1,94,200,-106,340
49,Top STairs,Sh1ro,3,1,2,312,120,192,2,1,1,211,120,91,1,0,1,101,0,101,340
50,Top Mid,Sh1ro,0,1,-1,16,100,-84,0,0,0,0,0,0,0,1,-1,16,100,-84,340
51,T Deep Apps Underpass/Apps Peek,Sh1ro,6,1,5,551,82,469,0,0,0,0,0,0,6,1,5,551,82,469,340
52,Deep Catwalk,Sh1ro,2,2,0,134,245,-111,0,1,-1,0,100,-100,2,1,1,134,145,-11,340
53,market,Sh1ro,1,1,0,100,89,11,0,1,-1,0,62,-62,1,0,1,100,27,73,340
54,Balcony Boaxes,Sh1ro,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,340
55,T Spawn towards Apps,Sh1ro,2,0,2,230,0,230,1,0,1,100,0,100,1,0,1,130,0,130,340
56,Sandwhich,Sh1ro,1,1,0,100,122,-22,0,0,0,0,0,0,1,1,0,100,122,-22,340
57,Top Mid Boxes Right Side Peek,Sh1ro,0,0,0,26,9,17,0,0,0,0,0,0,0,0,0,26,9,17,340
58,Right Side Snipers Nest,Sh1ro,4,0,4,466,0,466,4,0,4,466,0,466,0,0,0,0,0,0,340
59,Top Mid Boxes Left Side Peek,Sh1ro,3,0,3,368,14,354,0,0,0,0,0,0,3,0,3,368,14,354,340
60,Left Side corner deep jungle,Sh1ro,0,1,-1,145,24,121,0,1,-1,145,24,121,0,0,0,0,0,0,340
61,CT Deep Catwalk Mid peek,Sh1ro,1,0,1,145,102,43,1,0,1,70,8,62,0,0,0,75,94,-19,340
62,CT Outside Market,Sh1ro,2,0,2,140,0,140,2,0,2,140,0,140,0,0,0,0,0,0,340
63,Inside Market Doors,Sh1ro,2,0,2,146,51,95,0,0,0,0,0,0,2,0,2,146,51,95,340
64,Tetris,Sh1ro,2,1,1,135,255,-120,0,0,0,0,0,0,2,1,1,135,255,-120,340
65,Forest,Sh1ro,0,1,-1,26,100,-74,0,0,0,0,0,0,0,1,-1,26,100,-74,340
66,Ninja,Sh1ro,0,2,-2,0,186,-186,0,2,-2,0,186,-186,0,0,0,0,0,0,340
67,Stairs Smoke Platform,Sh1ro,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,340
68,Construction,Sh1ro,0,1,-1,0,14,-14,0,0,0,0,0,0,0,1,-1,0,14,-14,340
69,Barn,Sh1ro,0,1,-1,0,31,-31,0,0,0,0,0,0,0,1,-1,0,31,-31,340
70,Apartments Right CT Corner,Sh1ro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
71,Behind Big Boxes,Sh1ro,5,1,4,460,226,234,0,0,0,0,0,0,5,1,4,460,226,234,340
72,Elevated Snipers Awp Peek,Sh1ro,2,1,1,345,127,218,2,1,1,345,127,218,0,0,0,0,0,0,340
73,Bench Closer To Jungle,Sh1ro,1,0,1,101,0,101,1,0,1,101,0,101,0,0,0,0,0,0,340
74,Top Mid on top of Boxes,Sh1ro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
75,T Spawn A Ramp,Sh1ro,3,1,2,335,81,254,0,0,0,0,0,0,3,1,2,335,81,254,340
76,Top Mid Catwalk,Sh1ro,0,1,-1,23,105,-82,0,0,0,0,0,0,0,1,-1,23,105,-82,340
77,Leftside Connector,Sh1ro,2,1,1,200,100,100,2,1,1,200,100,100,0,0,0,0,0,0,340
78,T Apps TV,Sh1ro,2,1,1,208,100,108,1,0,1,100,0,100,1,1,0,108,100,8,340
79,Murder Hole,Sh1ro,0,0,0,102,14,88,0,0,0,102,14,88,0,0,0,0,0,0,340
80,Deep T Spawn T Ramp,Sh1ro,0,1,-1,1,100,-99,0,0,0,0,0,0,0,1,-1,1,100,-99,340
81,Under window B apps,Sh1ro,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,340
82,Close Right Market Window,Sh1ro,1,1,0,168,100,68,0,0,0,0,0,0,1,1,0,168,100,68,340
83,EastForest,Sh1ro,0,1,-1,0,91,-91,0,0,0,0,0,0,0,1,-1,0,91,-91,340
84,Bottom Mid Boosting Snipers,Sh1ro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
85,Semi Elevated CT Van,Sh1ro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
86,Register Market,Sh1ro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
87,Bench Closer to Tribox,Sh1ro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
88,A Ramp,Hobbit,8,18,-10,1245,2019,-774,5,1,4,473,253,220,3,17,-14,772,1766,-994,315
89,Top Balcony,Hobbit,14,14,0,1696,1289,407,12,11,1,1570,1093,477,2,3,-1,126,196,-70,315
90,Ticketbooth ,Hobbit,20,11,9,2372,1442,930,19,9,10,2245,1293,952,1,2,-1,127,149,-22,315
91,Triple Box,Hobbit,4,4,0,650,432,218,3,2,1,440,232,208,1,2,-1,210,200,10,315
92,Bottom Stairs,Hobbit,9,9,0,896,975,-79,4,5,-1,508,500,8,5,4,1,388,475,-87,315
93,A Site,Hobbit,7,4,3,881,535,346,4,2,2,481,243,238,3,2,1,400,292,108,315
94,Mid Close Connector,Hobbit,5,6,-1,545,794,-249,0,0,0,0,81,-81,5,6,-1,545,713,-168,315
95,Default A,Hobbit,5,6,-1,901,663,238,5,4,1,819,457,362,0,2,-2,82,206,-124,315
96,Deep Jungle,Hobbit,3,6,-3,362,530,-168,0,1,-1,68,100,-32,3,5,-2,294,430,-136,315
97,Bottom Connector,Hobbit,4,4,0,528,418,110,0,1,-1,0,19,-19,4,3,1,528,399,129,315
98,A Site Exposed to Stairs Connector Cat,Hobbit,7,3,4,506,391,115,3,1,2,198,126,72,4,2,2,308,265,43,315
99,Close A Ramp,Hobbit,4,4,0,726,345,381,3,2,1,512,186,326,1,2,-1,214,159,55,315
100,Top Mid,Hobbit,2,5,-3,142,418,-276,1,0,1,32,0,32,1,5,-4,110,418,-308,315
101,Underpass,Hobbit,7,6,1,1097,1040,57,1,0,1,36,0,36,6,6,0,1061,1040,21,315
102,Deep Catwalk,Hobbit,7,4,3,643,537,106,1,1,0,25,78,-53,6,3,3,618,459,159,315
103,T Palace Stairs Peek,Hobbit,4,2,2,337,391,-54,4,2,2,337,340,-3,0,0,0,0,51,-51,315
104,CT Deep Catwalk Mid peek,Hobbit,4,6,-2,323,488,-165,1,0,1,28,0,28,3,6,-3,295,488,-193,315
105,Under balcony,Hobbit,6,4,2,565,462,103,6,4,2,565,462,103,0,0,0,0,0,0,315
106,Tetris,Hobbit,9,4,5,770,654,116,3,2,1,300,221,79,6,2,4,470,433,37,315
107,Deep Palace,Hobbit,11,2,9,1155,333,822,1,1,0,245,100,145,10,1,9,910,233,677,315
108,B Bombsite Cross to Catwalk,Hobbit,4,4,0,393,400,-7,2,0,2,172,0,172,2,4,-2,221,400,-179,315
109,Sandwhich,Hobbit,12,5,7,1323,656,667,7,4,3,770,412,358,5,1,4,553,244,309,315
110,CT Catwalk,Hobbit,3,3,0,232,365,-133,0,1,-1,29,68,-39,3,2,1,203,297,-94,315
111,Murder Hole,Hobbit,0,2,-2,77,208,-131,0,1,-1,44,78,-34,0,1,-1,33,130,-97,315
112,Top Mid Catwalk,Hobbit,2,5,-3,254,445,-191,0,0,0,0,0,0,2,5,-3,254,445,-191,315
113,Jungle Plant,Hobbit,1,4,-3,233,358,-125,0,1,-1,40,100,-60,1,3,-2,193,258,-65,315
114,Left Side Platform,Hobbit,0,4,-4,46,321,-275,0,0,0,46,0,46,0,4,-4,0,321,-321,315
115,Top Mid Left Side,Hobbit,2,5,-3,471,651,-180,0,0,0,0,0,0,2,5,-3,471,651,-180,315
116,Leftside Connector,Hobbit,3,0,3,277,138,139,2,0,2,177,54,123,1,0,1,100,84,16,315
117,Arch,Hobbit,0,1,-1,40,91,-51,0,0,0,0,0,0,0,1,-1,40,91,-51,315
