,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
0,CT Side Apps,Stavn,13,11,2,1441,1390,51,4,7,-3,476,669,-193,9,4,5,965,721,244,358
1,Ticketbooth ,Stavn,17,5,12,1726,628,1098,16,5,11,1659,628,1031,1,0,1,67,0,67,358
2,Top Balcony,Stavn,3,10,-7,317,951,-634,1,4,-3,106,327,-221,2,6,-4,211,624,-413,358
3,A Site,Stavn,4,8,-4,612,697,-85,0,0,0,18,20,-2,4,8,-4,594,677,-83,358
4,A Site Exposed to Stairs Connector Cat,Stavn,6,6,0,721,441,280,6,3,3,705,306,399,0,3,-3,16,135,-119,358
5,Bottom Stairs,Stavn,9,8,1,926,827,99,6,4,2,724,427,297,3,4,-1,202,400,-198,358
6,A Ramp,Stavn,10,6,4,1271,672,599,2,0,2,238,22,216,8,6,2,1033,650,383,358
7,Deep T Apps,Stavn,6,5,1,799,657,142,2,1,1,192,57,135,4,4,0,607,600,7,358
8,Triple Box,Stavn,3,5,-2,229,460,-231,2,3,-1,193,226,-33,1,2,-1,36,234,-198,358
9,Deep Catwalk,Stavn,5,6,-1,641,486,155,3,3,0,440,316,124,2,3,-1,201,170,31,358
10,Deep Jungle,Stavn,14,9,5,1856,816,1040,10,5,5,1413,520,893,4,4,0,443,296,147,358
11,Top Connector,Stavn,0,6,-6,174,600,-426,0,4,-4,130,400,-270,0,2,-2,44,200,-156,358
12,CT Catwalk,Stavn,10,4,6,1053,580,473,5,4,1,577,532,45,5,0,5,476,48,428,358
13,Deep Palace,Stavn,1,3,-2,151,273,-122,1,3,-2,122,219,-97,0,0,0,29,54,-25,358
14,Underneath B apps plat,Stavn,4,4,0,370,345,25,1,1,0,124,100,24,3,3,0,246,245,1,358
15,Back Left B Site From T's' Perspective,Stavn,4,4,0,427,503,-76,4,4,0,427,503,-76,0,0,0,0,0,0,358
16,Default A,Stavn,8,6,2,961,776,185,5,5,0,605,586,19,3,1,2,356,190,166,358
17,Mid Close Connector,Stavn,3,5,-2,229,533,-304,2,2,0,129,190,-61,1,3,-2,100,343,-243,358
18,Bench,Stavn,4,5,-1,481,447,34,3,3,0,316,300,16,1,2,-1,165,147,18,358
19,Snipers Palace Peek,Stavn,4,3,1,428,587,-159,3,2,1,301,386,-85,1,1,0,127,201,-74,358
20,Left Side Platform,Stavn,5,6,-1,491,756,-265,2,2,0,155,154,1,3,4,-1,336,602,-266,358
21,Snipers Nest,Stavn,8,4,4,681,416,265,6,3,3,481,356,125,2,1,1,200,60,140,358
