,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
0,Top Balcony,Elige,3,6,-3,534,513,21,3,4,-1,447,401,46,0,2,-2,87,112,-25,196
1,Deep Jungle,Elige,5,7,-2,573,667,-94,2,3,-1,316,326,-10,3,4,-1,257,341,-84,196
2,CT Deep Catwalk Mid peek,Elige,1,3,-2,307,246,61,0,2,-2,128,87,41,1,1,0,179,159,20,196
3,Bottom Stairs,Elige,6,7,-1,768,720,48,4,6,-2,493,624,-131,2,1,1,275,96,179,196
4,Ticketbooth ,Elige,8,4,4,665,426,239,7,4,3,642,426,216,1,0,1,23,0,23,196
5,Triple Box,Elige,3,1,2,271,85,186,3,1,2,271,85,186,0,0,0,0,0,0,196
6,A Site,Elige,5,3,2,714,251,463,1,1,0,270,100,170,4,2,2,444,151,293,196
7,Mid Close Connector,Elige,2,3,-1,241,275,-34,0,2,-2,12,116,-104,2,1,1,229,159,70,196
8,Tetris,Elige,3,2,1,352,295,57,0,0,0,41,0,41,3,2,1,311,295,16,196
9,Snipers Nest,Elige,1,4,-3,334,314,20,1,4,-3,308,295,13,0,0,0,26,19,7,196
10,Bottom Connector,Elige,7,5,2,757,386,371,3,2,1,318,112,206,4,3,1,439,274,165,196
11,Deep Palace,Elige,3,2,1,302,196,106,2,1,1,202,127,75,1,1,0,100,69,31,196
12,Top Mid towards Apps,Elige,0,2,-2,205,156,49,0,0,0,0,0,0,0,2,-2,205,156,49,196
13,Catwalk Connector Peek,Elige,1,2,-1,124,307,-183,0,0,0,15,0,15,1,2,-1,109,307,-198,196
14,Top Mid,Elige,3,2,1,302,288,14,3,2,1,292,288,4,0,0,0,10,0,10,196
15,Top Mid Left Side,Elige,3,4,-1,545,696,-151,2,0,2,261,0,261,1,4,-3,284,696,-412,196
16,A Site Exposed to Stairs Connector Cat,Elige,7,3,4,609,259,350,6,2,4,484,148,336,1,1,0,125,111,14,196
17,A Ramp,Elige,0,2,-2,46,200,-154,0,0,0,0,0,0,0,2,-2,46,200,-154,196
18,Right Side Connector,Elige,3,1,2,482,295,187,2,1,1,382,202,180,1,0,1,100,93,7,196
19,T Palace Stairs Peek,Elige,1,2,-1,174,180,-6,1,2,-1,148,173,-25,0,0,0,26,7,19,196
20,Left Side Platform,Elige,0,1,-1,34,152,-118,0,0,0,0,0,0,0,1,-1,34,152,-118,196
21,Catwalk T Aparments Peek,Elige,2,1,1,252,126,126,2,1,1,252,126,126,0,0,0,0,0,0,196
22,Top Connector,Elige,3,3,0,420,422,-2,2,1,1,286,192,94,1,2,-1,134,230,-96,196
23,Underpass,Elige,4,2,2,408,303,105,2,1,1,251,181,70,2,1,1,157,122,35,196
24,Top Mid Catwalk,Elige,2,2,0,166,269,-103,1,2,-1,74,200,-126,1,0,1,92,69,23,196
25,Ninja,Elige,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
26,Deep Catwalk,Elige,7,4,3,625,428,197,2,1,1,103,100,3,5,3,2,522,328,194,196
27,Default A,Elige,4,3,1,340,134,206,2,2,0,203,119,84,2,1,1,137,15,122,196
28,Underneath B apps plat,Elige,2,1,1,95,100,-5,2,1,1,95,100,-5,0,0,0,0,0,0,196
