,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
0,Top Mid Left Side,Syrson,1,0,1,100,0,100,CT,393
1,Top Mid Left Side,Syrson,5,12,-7,685,1290,-605,T,393
2,Bottom Stairs,Syrson,6,6,0,630,772,-142,CT,393
3,Bottom Stairs,Syrson,4,4,0,275,470,-195,T,393
4,Ticketbooth ,Syrson,9,10,-1,1037,1096,-59,CT,393
5,Ticketbooth ,Syrson,2,1,1,86,124,-38,T,393
6,CT Side Apps,Syrson,4,1,3,449,96,353,CT,393
7,CT Side Apps,Syrson,14,12,2,1719,1286,433,T,393
8,Snipers Nest,Syrson,7,5,2,520,691,-171,CT,393
9,Snipers Nest,Syrson,0,2,-2,8,184,-176,T,393
10,CT Catwalk,Syrson,1,1,0,95,100,-5,CT,393
11,CT Catwalk,Syrson,1,4,-3,114,359,-245,T,393
12,Deep Catwalk,Syrson,5,2,3,592,323,269,CT,393
13,Deep Catwalk,Syrson,9,4,5,594,608,-14,T,393
14,Close Market door,Syrson,2,4,-2,103,317,-214,CT,393
15,Close Market door,Syrson,0,1,-1,9,100,-91,T,393
16,A Ramp,Syrson,1,1,0,100,20,80,CT,393
17,A Ramp,Syrson,6,7,-1,742,896,-154,T,393
18,Default A,Syrson,1,3,-2,160,327,-167,CT,393
19,Default A,Syrson,1,1,0,100,25,75,T,393
20,Triple Box,Syrson,0,2,-2,0,197,-197,CT,393
21,Triple Box,Syrson,4,1,3,326,192,134,T,393
22,Bottom Connector,Syrson,3,0,3,327,18,309,CT,393
23,Bottom Connector,Syrson,4,5,-1,445,627,-182,T,393
24,T Palace Stairs Peek,Syrson,3,1,2,214,126,88,CT,393
25,T Palace Stairs Peek,Syrson,2,4,-2,121,400,-279,T,393
26,Market Window Peek,Syrson,3,0,3,296,0,296,CT,393
27,Market Window Peek,Syrson,0,1,-1,34,100,-66,T,393
28,Mid Close Connector,Syrson,3,3,0,266,344,-78,CT,393
29,Mid Close Connector,Syrson,2,1,1,262,274,-12,T,393
30,CT Deep Catwalk Mid peek,Syrson,2,4,-2,200,332,-132,CT,393
31,CT Deep Catwalk Mid peek,Syrson,15,3,12,1314,486,828,T,393
32,A Site Exposed to Stairs Connector Cat,Syrson,7,0,7,481,47,434,CT,393
33,A Site Exposed to Stairs Connector Cat,Syrson,1,3,-2,163,293,-130,T,393
34,Top Connector,Syrson,2,2,0,114,214,-100,CT,393
35,Top Connector,Syrson,0,1,-1,112,124,-12,T,393
36,Catwalk Connector Peek,Syrson,3,1,2,228,100,128,CT,393
37,Catwalk Connector Peek,Syrson,15,6,9,1443,745,698,T,393
38,Top Mid towards Apps,Syrson,1,1,0,7,36,-29,CT,393
39,Top Mid towards Apps,Syrson,1,3,-2,185,344,-159,T,393
40,Deep T Apps,Syrson,0,0,0,0,68,-68,CT,393
41,Deep T Apps,Syrson,3,3,0,300,521,-221,T,393
42,Underpass,Syrson,3,2,1,300,277,23,CT,393
43,Underpass,Syrson,0,0,0,0,0,0,T,393
44,Close A Ramp,Syrson,0,0,0,0,0,0,CT,393
45,Close A Ramp,Syrson,1,1,0,100,142,-42,T,393
46,Top Mid Catwalk,Syrson,0,0,0,0,0,0,CT,393
47,Top Mid Catwalk,Syrson,1,2,-1,148,158,-10,T,393
48,Catwalk T Aparments Peek,Syrson,3,2,1,269,203,66,CT,393
49,Catwalk T Aparments Peek,Syrson,5,3,2,500,357,143,T,393
50,Deep CT,Syrson,3,3,0,333,314,19,CT,393
51,Deep CT,Syrson,0,1,-1,39,123,-84,T,393
52,Bench,Syrson,0,1,-1,78,100,-22,CT,393
53,Bench,Syrson,2,2,0,169,168,1,T,393
