,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
0,CT Catwalk,Konfig,10,7,3,1408,725,683,CT,563
1,CT Catwalk,Konfig,5,5,0,550,528,22,T,563
2,CT Side Apps,Konfig,5,3,2,540,348,192,CT,563
3,CT Side Apps,Konfig,6,11,-5,722,1187,-465,T,563
4,Left Side Platform,Konfig,5,5,0,446,506,-60,CT,563
5,Left Side Platform,Konfig,4,6,-2,455,647,-192,T,563
6,Deep Jungle,Konfig,7,1,6,573,259,314,CT,563
7,Deep Jungle,Konfig,9,13,-4,937,1292,-355,T,563
8,Deep Catwalk,Konfig,20,11,9,2160,1466,694,CT,563
9,Deep Catwalk,Konfig,6,7,-1,678,885,-207,T,563
10,Bottom Stairs,Konfig,4,5,-1,423,388,35,CT,563
11,Bottom Stairs,Konfig,15,10,5,1639,976,663,T,563
12,Ticketbooth ,Konfig,6,6,0,689,739,-50,CT,563
13,Ticketbooth ,Konfig,6,9,-3,690,783,-93,T,563
14,Top Mid Left Side,Konfig,2,1,1,200,198,2,CT,563
15,Top Mid Left Side,Konfig,5,11,-6,984,1534,-550,T,563
16,Triple Box,Konfig,5,4,1,604,361,243,CT,563
17,Triple Box,Konfig,6,11,-5,614,791,-177,T,563
18,A Ramp,Konfig,2,1,1,200,136,64,CT,563
19,A Ramp,Konfig,9,10,-1,1120,1186,-66,T,563
20,Mid Close Connector,Konfig,5,4,1,578,507,71,CT,563
21,Mid Close Connector,Konfig,1,7,-6,376,968,-592,T,563
22,CT Deep Catwalk Mid peek,Konfig,15,11,4,1487,1199,288,CT,563
23,CT Deep Catwalk Mid peek,Konfig,4,4,0,398,450,-52,T,563
24,Default A,Konfig,3,4,-1,318,459,-141,CT,563
25,Default A,Konfig,8,3,5,670,322,348,T,563
26,A Site,Konfig,0,1,-1,15,102,-87,CT,563
27,A Site,Konfig,5,10,-5,501,1025,-524,T,563
28,Bottom Connector,Konfig,3,3,0,195,331,-136,CT,563
29,Bottom Connector,Konfig,3,4,-1,365,244,121,T,563
30,Arch,Konfig,16,10,6,1341,1062,279,CT,563
31,Arch,Konfig,5,1,4,589,7,582,T,563
32,B Bombsite Cross to Catwalk,Konfig,3,3,0,365,288,77,CT,563
33,B Bombsite Cross to Catwalk,Konfig,4,3,1,419,409,10,T,563
34,Top Connector,Konfig,0,3,-3,42,257,-215,CT,563
35,Top Connector,Konfig,2,7,-5,329,557,-228,T,563
36,Top Mid,Konfig,3,1,2,376,110,266,CT,563
37,Top Mid,Konfig,4,4,0,463,542,-79,T,563
38,Catwalk T Aparments Peek,Konfig,3,3,0,506,365,141,CT,563
39,Catwalk T Aparments Peek,Konfig,5,3,2,306,367,-61,T,563
40,Deep CT,Konfig,3,4,-1,236,403,-167,CT,563
41,Deep CT,Konfig,4,1,3,393,172,221,T,563
