,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
0,Ticketbooth ,KSCERATO,8,11,-3,1069,1302,-233,CT,452
1,Ticketbooth ,KSCERATO,5,2,3,363,117,246,T,452
2,CT Side Apps,KSCERATO,2,2,0,321,327,-6,CT,452
3,CT Side Apps,KSCERATO,15,11,4,1742,1436,306,T,452
4,CT Catwalk,KSCERATO,3,5,-2,671,610,61,CT,452
5,CT Catwalk,KSCERATO,1,2,-1,98,161,-63,T,452
6,A Site,KSCERATO,0,2,-2,89,167,-78,CT,452
7,A Site,KSCERATO,5,5,0,460,530,-70,T,452
8,Left Side Platform,KSCERATO,8,2,6,973,244,729,CT,452
9,Left Side Platform,KSCERATO,9,5,4,956,483,473,T,452
10,Underneath B apps plat,KSCERATO,1,3,-2,358,186,172,CT,452
11,Underneath B apps plat,KSCERATO,4,7,-3,403,420,-17,T,452
12,Bottom Stairs,KSCERATO,6,5,1,424,534,-110,CT,452
13,Bottom Stairs,KSCERATO,3,7,-4,342,523,-181,T,452
14,Default A,KSCERATO,1,2,-1,370,288,82,CT,452
15,Default A,KSCERATO,4,5,-1,183,481,-298,T,452
16,Top Balcony,KSCERATO,1,3,-2,148,298,-150,CT,452
17,Top Balcony,KSCERATO,7,5,2,726,450,276,T,452
18,CT Deep Catwalk Mid peek,KSCERATO,4,5,-1,716,697,19,CT,452
19,CT Deep Catwalk Mid peek,KSCERATO,2,5,-3,402,653,-251,T,452
20,B Bombsite Cross to Catwalk,KSCERATO,0,2,-2,0,116,-116,CT,452
21,B Bombsite Cross to Catwalk,KSCERATO,4,3,1,328,425,-97,T,452
22,Deep T Apps,KSCERATO,5,2,3,468,201,267,CT,452
23,Deep T Apps,KSCERATO,7,7,0,1123,1553,-430,T,452
24,Mid Close Connector,KSCERATO,1,2,-1,154,192,-38,CT,452
25,Mid Close Connector,KSCERATO,5,7,-2,575,767,-192,T,452
26,Snipers Palace Peek,KSCERATO,4,4,0,352,631,-279,CT,452
27,Snipers Palace Peek,KSCERATO,0,4,-4,10,406,-396,T,452
28,Triple Box,KSCERATO,7,0,7,370,33,337,CT,452
29,Triple Box,KSCERATO,3,2,1,320,427,-107,T,452
30,Arch,KSCERATO,6,2,4,566,226,340,CT,452
31,Arch,KSCERATO,1,2,-1,143,119,24,T,452
32,Deep Jungle,KSCERATO,12,7,5,1316,854,462,CT,452
33,Deep Jungle,KSCERATO,9,2,7,745,467,278,T,452
34,Catwalk Plant B Site,KSCERATO,6,6,0,727,602,125,CT,452
35,Catwalk Plant B Site,KSCERATO,3,5,-2,128,349,-221,T,452
36,A Site Exposed to Stairs Connector Cat,KSCERATO,6,1,5,374,100,274,CT,452
37,A Site Exposed to Stairs Connector Cat,KSCERATO,3,5,-2,233,331,-98,T,452
38,A Ramp,KSCERATO,1,0,1,100,27,73,CT,452
39,A Ramp,KSCERATO,6,7,-1,910,846,64,T,452
40,Back B Site Peeking Apps/Plat,KSCERATO,4,2,2,657,160,497,CT,452
41,Back B Site Peeking Apps/Plat,KSCERATO,5,2,3,485,227,258,T,452
42,B site Market Plant,KSCERATO,5,7,-2,514,737,-223,CT,452
43,B site Market Plant,KSCERATO,1,2,-1,100,144,-44,T,452
44,Deep Catwalk,KSCERATO,6,6,0,658,662,-4,CT,452
45,Deep Catwalk,KSCERATO,3,3,0,230,291,-61,T,452
46,Back Left B Site From T's' Perspective,KSCERATO,16,5,11,1611,669,942,CT,452
47,Back Left B Site From T's' Perspective,KSCERATO,1,1,0,78,94,-16,T,452
48,Deep CT,KSCERATO,11,6,5,855,716,139,CT,452
49,Deep CT,KSCERATO,2,1,1,214,143,71,T,452
50,Bench,KSCERATO,7,5,2,961,679,282,CT,452
51,Bench,KSCERATO,6,2,4,542,235,307,T,452
52,T Palace Stairs Peek,KSCERATO,0,0,0,0,0,0,CT,452
53,T Palace Stairs Peek,KSCERATO,5,7,-2,644,1000,-356,T,452
54,Left Side corner deep jungle,KSCERATO,1,5,-4,137,406,-269,CT,452
55,Left Side corner deep jungle,KSCERATO,0,2,-2,81,132,-51,T,452
56,Top Mid,KSCERATO,1,1,0,100,180,-80,CT,452
57,Top Mid,KSCERATO,2,4,-2,294,522,-228,T,452
58,CT Outside Market,KSCERATO,2,3,-1,340,301,39,CT,452
59,CT Outside Market,KSCERATO,1,1,0,152,100,52,T,452
60,Close Market door,KSCERATO,3,3,0,344,345,-1,CT,452
61,Close Market door,KSCERATO,1,0,1,100,0,100,T,452
62,market,KSCERATO,3,2,1,150,368,-218,CT,452
63,market,KSCERATO,3,0,3,183,0,183,T,452
64,Close A Ramp,KSCERATO,2,1,1,138,100,38,CT,452
65,Close A Ramp,KSCERATO,6,2,4,535,546,-11,T,452
66,Right Side Platform,KSCERATO,3,3,0,282,292,-10,CT,452
67,Right Side Platform,KSCERATO,3,2,1,267,262,5,T,452
68,Deep Palace,KSCERATO,0,2,-2,0,162,-162,CT,452
69,Deep Palace,KSCERATO,1,5,-4,298,446,-148,T,452
70,Underpass,KSCERATO,3,6,-3,362,545,-183,CT,452
71,Underpass,KSCERATO,2,1,1,198,195,3,T,452
72,Top Mid Left Side,KSCERATO,1,0,1,100,0,100,CT,452
73,Top Mid Left Side,KSCERATO,2,3,-1,332,632,-300,T,452
74,Top Mid towards Apps,KSCERATO,1,0,1,23,0,23,CT,452
75,Top Mid towards Apps,KSCERATO,3,4,-1,324,349,-25,T,452
76,Murder Hole,KSCERATO,1,0,1,100,2,98,CT,452
77,Murder Hole,KSCERATO,2,1,1,250,100,150,T,452
78,Semi Elevated CT Van,KSCERATO,5,3,2,608,370,238,CT,452
79,Semi Elevated CT Van,KSCERATO,0,0,0,14,87,-73,T,452
80,Sandwhich,KSCERATO,1,1,0,22,100,-78,CT,452
81,Sandwhich,KSCERATO,1,2,-1,100,176,-76,T,452
82,B Site Default Plant,KSCERATO,2,0,2,261,0,261,CT,452
83,B Site Default Plant,KSCERATO,1,2,-1,124,242,-118,T,452
84,Close Right Market Window,KSCERATO,0,2,-2,0,179,-179,CT,452
85,Close Right Market Window,KSCERATO,2,2,0,193,219,-26,T,452
86,Snipers Nest,KSCERATO,3,2,1,299,427,-128,CT,452
87,Snipers Nest,KSCERATO,3,1,2,232,188,44,T,452
88,Market Window Peek,KSCERATO,3,2,1,274,257,17,CT,452
89,Market Window Peek,KSCERATO,0,0,0,54,0,54,T,452
90,Tetris,KSCERATO,0,1,-1,7,100,-93,CT,452
91,Tetris,KSCERATO,3,3,0,331,230,101,T,452
92,Top Connector,KSCERATO,0,1,-1,0,106,-106,CT,452
93,Top Connector,KSCERATO,3,1,2,161,59,102,T,452
94,Firebox,KSCERATO,0,1,-1,53,31,22,CT,452
95,Firebox,KSCERATO,3,3,0,322,282,40,T,452
96,Right Side Snipers Nest,KSCERATO,3,3,0,344,316,28,CT,452
97,Right Side Snipers Nest,KSCERATO,0,0,0,94,0,94,T,452
98,Catwalk T Aparments Peek,KSCERATO,1,0,1,173,34,139,CT,452
99,Catwalk T Aparments Peek,KSCERATO,1,0,1,152,89,63,T,452
100,T Deep Apps Underpass/Apps Peek,KSCERATO,0,0,0,0,0,0,CT,452
101,T Deep Apps Underpass/Apps Peek,KSCERATO,0,3,-3,53,269,-216,T,452
102,CT Spawn,KSCERATO,0,2,-2,88,229,-141,CT,452
103,CT Spawn,KSCERATO,0,0,0,0,22,-22,T,452
104,Middle Bench,KSCERATO,0,0,0,0,0,0,CT,452
105,Middle Bench,KSCERATO,2,0,2,204,68,136,T,452
106,Right Side Connector,KSCERATO,1,0,1,104,8,96,CT,452
107,Right Side Connector,KSCERATO,1,2,-1,176,259,-83,T,452
108,Ladder Room Catwalk Side,KSCERATO,2,2,0,155,259,-104,CT,452
109,Ladder Room Catwalk Side,KSCERATO,2,1,1,253,62,191,T,452
110,Bottom Connector,KSCERATO,1,0,1,100,0,100,CT,452
111,Bottom Connector,KSCERATO,2,2,0,239,323,-84,T,452
