,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
0,Bottom Stairs,Hunter,6,5,1,0,0,0,CT,417
1,Bottom Stairs,Hunter,13,11,2,0,0,0,T,417
2,Deep Catwalk,Hunter,10,9,1,0,0,0,CT,417
3,Deep Catwalk,Hunter,4,2,2,0,0,0,T,417
4,Snipers Nest,Hunter,2,5,-3,0,0,0,CT,417
5,Snipers Nest,Hunter,6,9,-3,0,0,0,T,417
6,Ticketbooth ,Hunter,10,7,3,0,0,0,CT,417
7,Ticketbooth ,Hunter,11,7,4,0,0,0,T,417
8,Underpass,Hunter,2,0,2,0,0,0,CT,417
9,Underpass,Hunter,11,11,0,0,0,0,T,417
10,CT Side Apps,Hunter,1,0,1,0,0,0,CT,417
11,CT Side Apps,Hunter,8,10,-2,0,0,0,T,417
12,Snipers Palace Peek,Hunter,4,4,0,0,0,0,CT,417
13,Snipers Palace Peek,Hunter,6,5,1,0,0,0,T,417
14,Default A,Hunter,3,1,2,0,0,0,CT,417
15,Default A,Hunter,5,6,-1,0,0,0,T,417
16,Arch,Hunter,14,14,0,0,0,0,CT,417
17,Arch,Hunter,1,4,-3,0,0,0,T,417
18,Deep Jungle,Hunter,7,2,5,0,0,0,CT,417
19,Deep Jungle,Hunter,10,4,6,0,0,0,T,417
20,Mid Close Connector,Hunter,0,3,-3,0,0,0,CT,417
21,Mid Close Connector,Hunter,3,4,-1,0,0,0,T,417
22,A Site Exposed to Stairs Connector Cat,Hunter,0,1,-1,0,0,0,CT,417
23,A Site Exposed to Stairs Connector Cat,Hunter,3,5,-2,0,0,0,T,417
24,Deep T Apps,Hunter,4,3,1,0,0,0,CT,417
25,Deep T Apps,Hunter,5,6,-1,0,0,0,T,417
26,CT Catwalk,Hunter,7,6,1,0,0,0,CT,417
27,CT Catwalk,Hunter,5,2,3,0,0,0,T,417
28,CT Outside Market,Hunter,7,5,2,0,0,0,CT,417
29,CT Outside Market,Hunter,4,2,2,0,0,0,T,417
30,CT Deep Catwalk Mid peek,Hunter,7,8,-1,0,0,0,CT,417
31,CT Deep Catwalk Mid peek,Hunter,1,0,1,0,0,0,T,417
32,Tetris,Hunter,0,0,0,0,0,0,CT,417
33,Tetris,Hunter,5,10,-5,0,0,0,T,417
34,Catwalk T Aparments Peek,Hunter,3,6,-3,0,0,0,CT,417
35,Catwalk T Aparments Peek,Hunter,2,1,1,0,0,0,T,417
36,Catwalk Connector Peek,Hunter,4,5,-1,0,0,0,CT,417
37,Catwalk Connector Peek,Hunter,4,2,2,0,0,0,T,417
38,Deep Palace,Hunter,3,2,1,0,0,0,CT,417
39,Deep Palace,Hunter,3,2,1,0,0,0,T,417
40,Left Side Platform,Hunter,2,2,0,0,0,0,CT,417
41,Left Side Platform,Hunter,4,2,2,0,0,0,T,417
42,Deep CT,Hunter,6,6,0,0,0,0,CT,417
43,Deep CT,Hunter,2,4,-2,0,0,0,T,417
44,Bottom Connector,Hunter,0,3,-3,0,0,0,CT,417
45,Bottom Connector,Hunter,5,7,-2,0,0,0,T,417
46,Triple Box,Hunter,1,1,0,0,0,0,CT,417
47,Triple Box,Hunter,1,3,-2,0,0,0,T,417
48,Underneath B apps plat,Hunter,4,4,0,0,0,0,CT,417
49,Underneath B apps plat,Hunter,3,1,2,0,0,0,T,417
50,Top Connector,Hunter,0,2,-2,0,0,0,CT,417
51,Top Connector,Hunter,6,3,3,0,0,0,T,417
