,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
0,CT Side Apps,Stavn,4,7,-3,476,669,-193,CT,358
1,CT Side Apps,Stavn,9,4,5,965,721,244,T,358
2,Top Balcony,Stavn,1,4,-3,106,327,-221,CT,358
3,Top Balcony,Stavn,2,6,-4,211,624,-413,T,358
4,Ticketbooth ,Stavn,16,5,11,1659,628,1031,CT,358
5,Ticketbooth ,Stavn,1,0,1,67,0,67,T,358
6,A Site,Stavn,0,0,0,18,20,-2,CT,358
7,A Site,Stavn,4,8,-4,594,677,-83,T,358
8,A Site Exposed to Stairs Connector Cat,Stavn,6,3,3,705,306,399,CT,358
9,A Site Exposed to Stairs Connector Cat,Stavn,0,3,-3,16,135,-119,T,358
10,Bottom Stairs,Stavn,6,4,2,724,427,297,CT,358
11,Bottom Stairs,Stavn,3,4,-1,202,400,-198,T,358
12,A Ramp,Stavn,2,0,2,238,22,216,CT,358
13,A Ramp,Stavn,8,6,2,1033,650,383,T,358
14,Triple Box,Stavn,2,3,-1,193,226,-33,CT,358
15,Triple Box,Stavn,1,2,-1,36,234,-198,T,358
16,Deep T Apps,Stavn,2,1,1,192,57,135,CT,358
17,Deep T Apps,Stavn,4,4,0,607,600,7,T,358
18,Deep Jungle,Stavn,10,5,5,1413,520,893,CT,358
19,Deep Jungle,Stavn,4,4,0,443,296,147,T,358
20,Deep Catwalk,Stavn,3,3,0,440,316,124,CT,358
21,Deep Catwalk,Stavn,2,3,-1,201,170,31,T,358
22,CT Catwalk,Stavn,5,4,1,577,532,45,CT,358
23,CT Catwalk,Stavn,5,0,5,476,48,428,T,358
24,Mid Close Connector,Stavn,2,2,0,129,190,-61,CT,358
25,Mid Close Connector,Stavn,1,3,-2,100,343,-243,T,358
26,Top Connector,Stavn,0,4,-4,130,400,-270,CT,358
27,Top Connector,Stavn,0,2,-2,44,200,-156,T,358
28,Deep Palace,Stavn,1,3,-2,122,219,-97,CT,358
29,Deep Palace,Stavn,0,0,0,29,54,-25,T,358
30,Bench,Stavn,3,3,0,316,300,16,CT,358
31,Bench,Stavn,1,2,-1,165,147,18,T,358
32,Default A,Stavn,5,5,0,605,586,19,CT,358
33,Default A,Stavn,3,1,2,356,190,166,T,358
34,Back Left B Site From T's' Perspective,Stavn,4,4,0,427,503,-76,CT,358
35,Back Left B Site From T's' Perspective,Stavn,0,0,0,0,0,0,T,358
36,Underneath B apps plat,Stavn,1,1,0,124,100,24,CT,358
37,Underneath B apps plat,Stavn,3,3,0,246,245,1,T,358
38,Snipers Palace Peek,Stavn,3,2,1,301,386,-85,CT,358
39,Snipers Palace Peek,Stavn,1,1,0,127,201,-74,T,358
40,Left Side Platform,Stavn,2,2,0,155,154,1,CT,358
41,Left Side Platform,Stavn,3,4,-1,336,602,-266,T,358
42,Snipers Nest,Stavn,6,3,3,481,356,125,CT,358
43,Snipers Nest,Stavn,2,1,1,200,60,140,T,358
44,Close A Ramp,Stavn,1,1,0,105,100,5,CT,358
45,Close A Ramp,Stavn,2,4,-2,344,453,-109,T,358
46,CT Deep Catwalk Mid peek,Stavn,6,2,4,661,220,441,CT,358
47,CT Deep Catwalk Mid peek,Stavn,4,3,1,323,349,-26,T,358
48,Top Mid Left Side,Stavn,0,0,0,0,0,0,CT,358
49,Top Mid Left Side,Stavn,1,2,-1,133,134,-1,T,358
50,Top Mid,Stavn,1,2,-1,155,200,-45,CT,358
51,Top Mid,Stavn,0,2,-2,93,240,-147,T,358
52,Close Left CT A Ramp,Stavn,1,0,1,41,0,41,CT,358
53,Close Left CT A Ramp,Stavn,0,1,-1,82,178,-96,T,358
54,Deep T Apps Underpass STairs,Stavn,2,1,1,258,127,131,CT,358
55,Deep T Apps Underpass STairs,Stavn,0,1,-1,6,121,-115,T,358
56,Catwalk Connector Peek,Stavn,2,0,2,173,0,173,CT,358
57,Catwalk Connector Peek,Stavn,1,2,-1,69,185,-116,T,358
58,Tetris,Stavn,1,0,1,42,59,-17,CT,358
59,Tetris,Stavn,3,3,0,490,381,109,T,358
60,market,Stavn,3,1,2,287,150,137,CT,358
61,market,Stavn,1,2,-1,121,164,-43,T,358
62,Underpass,Stavn,1,1,0,110,197,-87,CT,358
63,Underpass,Stavn,1,2,-1,235,202,33,T,358
64,T Palace Stairs Peek,Stavn,5,0,5,500,0,500,CT,358
65,T Palace Stairs Peek,Stavn,4,2,2,400,221,179,T,358
66,Arch,Stavn,0,2,-2,28,162,-134,CT,358
67,Arch,Stavn,0,1,-1,22,36,-14,T,358
68,T Deep Apps Underpass/Apps Peek,Stavn,0,0,0,0,0,0,CT,358
69,T Deep Apps Underpass/Apps Peek,Stavn,2,2,0,258,211,47,T,358
70,B site Market Plant,Stavn,0,1,-1,137,46,91,CT,358
71,B site Market Plant,Stavn,0,0,0,0,0,0,T,358
72,B Bombsite Cross to Catwalk,Stavn,0,0,0,0,0,0,CT,358
73,B Bombsite Cross to Catwalk,Stavn,2,3,-1,288,276,12,T,358
74,Bottom Connector,Stavn,3,1,2,254,131,123,CT,358
75,Bottom Connector,Stavn,0,1,-1,91,139,-48,T,358
76,B Site Default Plant,Stavn,0,2,-2,43,254,-211,CT,358
77,B Site Default Plant,Stavn,1,2,-1,112,128,-16,T,358
78,Close Right Market Window,Stavn,0,1,-1,0,90,-90,CT,358
79,Close Right Market Window,Stavn,2,2,0,219,127,92,T,358
80,Sandwhich,Stavn,0,1,-1,0,21,-21,CT,358
81,Sandwhich,Stavn,4,0,4,324,44,280,T,358
82,Catwalk T Aparments Peek,Stavn,1,1,0,100,200,-100,CT,358
