,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
0,Top Balcony,Elige,3,4,-1,447,401,46,CT,196
1,Top Balcony,Elige,0,2,-2,87,112,-25,T,196
2,Deep Jungle,Elige,2,3,-1,316,326,-10,CT,196
3,Deep Jungle,Elige,3,4,-1,257,341,-84,T,196
4,CT Deep Catwalk Mid peek,Elige,0,2,-2,128,87,41,CT,196
5,CT Deep Catwalk Mid peek,Elige,1,1,0,179,159,20,T,196
6,Ticketbooth ,Elige,7,4,3,642,438,204,CT,196
7,Ticketbooth ,Elige,1,0,1,23,0,23,T,196
8,Bottom Stairs,Elige,4,6,-2,493,624,-131,CT,196
9,Bottom Stairs,Elige,2,1,1,275,96,179,T,196
10,Triple Box,Elige,3,1,2,271,85,186,CT,196
11,Triple Box,Elige,0,0,0,0,0,0,T,196
12,A Site,Elige,1,1,0,270,100,170,CT,196
13,A Site,Elige,4,2,2,444,151,293,T,196
14,Mid Close Connector,Elige,0,2,-2,12,116,-104,CT,196
15,Mid Close Connector,Elige,2,1,1,229,159,70,T,196
16,Tetris,Elige,0,0,0,41,0,41,CT,196
17,Tetris,Elige,3,2,1,311,295,16,T,196
18,Deep Palace,Elige,2,1,1,202,127,75,CT,196
19,Deep Palace,Elige,1,1,0,100,69,31,T,196
20,Bottom Connector,Elige,3,2,1,318,112,206,CT,196
21,Bottom Connector,Elige,4,3,1,439,274,165,T,196
22,Snipers Nest,Elige,1,4,-3,308,295,13,CT,196
23,Snipers Nest,Elige,0,0,0,26,19,7,T,196
24,Catwalk Connector Peek,Elige,0,0,0,15,0,15,CT,196
25,Catwalk Connector Peek,Elige,1,2,-1,109,307,-198,T,196
26,Top Mid towards Apps,Elige,0,0,0,0,0,0,CT,196
27,Top Mid towards Apps,Elige,0,2,-2,205,156,49,T,196
28,Top Mid,Elige,3,2,1,292,288,4,CT,196
29,Top Mid,Elige,0,0,0,10,0,10,T,196
30,T Palace Stairs Peek,Elige,1,2,-1,148,173,-25,CT,196
31,T Palace Stairs Peek,Elige,0,0,0,26,7,19,T,196
32,Top Mid Left Side,Elige,2,0,2,261,0,261,CT,196
33,Top Mid Left Side,Elige,1,4,-3,284,696,-412,T,196
34,Left Side Platform,Elige,0,0,0,0,0,0,CT,196
35,Left Side Platform,Elige,0,1,-1,34,152,-118,T,196
36,A Site Exposed to Stairs Connector Cat,Elige,6,2,4,484,148,336,CT,196
37,A Site Exposed to Stairs Connector Cat,Elige,1,1,0,125,111,14,T,196
38,Right Side Connector,Elige,2,1,1,382,202,180,CT,196
39,Right Side Connector,Elige,1,0,1,100,93,7,T,196
40,A Ramp,Elige,0,0,0,0,0,0,CT,196
41,A Ramp,Elige,0,2,-2,46,200,-154,T,196
42,Catwalk T Aparments Peek,Elige,2,1,1,252,126,126,CT,196
43,Catwalk T Aparments Peek,Elige,0,0,0,0,0,0,T,196
44,Ninja,Elige,0,0,0,0,0,0,CT,196
45,Ninja,Elige,0,0,0,0,0,0,T,196
46,Default A,Elige,2,2,0,203,119,84,CT,196
47,Default A,Elige,2,1,1,137,15,122,T,196
48,Top Mid Catwalk,Elige,1,2,-1,74,200,-126,CT,196
49,Top Mid Catwalk,Elige,1,0,1,92,69,23,T,196
50,Underpass,Elige,2,1,1,251,181,70,CT,196
51,Underpass,Elige,2,1,1,157,122,35,T,196
52,Top Connector,Elige,2,1,1,286,192,94,CT,196
53,Top Connector,Elige,1,2,-1,134,230,-96,T,196
54,Deep Catwalk,Elige,2,1,1,103,100,3,CT,196
55,Deep Catwalk,Elige,5,3,2,522,328,194,T,196
56,Close A Ramp,Elige,3,1,2,212,100,112,CT,196
57,Close A Ramp,Elige,0,0,0,36,1,35,T,196
58,CT Side Apps,Elige,0,0,0,0,66,-66,CT,196
59,CT Side Apps,Elige,1,1,0,68,106,-38,T,196
60,Bench,Elige,3,1,2,167,180,-13,CT,196
61,Bench,Elige,0,0,0,0,0,0,T,196
62,CT Spawn,Elige,0,1,-1,48,100,-52,CT,196
63,CT Spawn,Elige,0,0,0,0,0,0,T,196
64,Underneath B apps plat,Elige,2,1,1,95,100,-5,CT,196
65,Underneath B apps plat,Elige,0,0,0,0,0,0,T,196
66,B Bombsite Cross to Catwalk,Elige,0,0,0,0,0,0,CT,196
67,B Bombsite Cross to Catwalk,Elige,0,1,-1,26,37,-11,T,196
68,CT Catwalk,Elige,1,0,1,65,87,-22,CT,196
69,CT Catwalk,Elige,0,3,-3,39,277,-238,T,196
70,Back Left B Site From T's' Perspective,Elige,3,3,0,269,312,-43,CT,196
71,Back Left B Site From T's' Perspective,Elige,0,0,0,0,0,0,T,196
72,Left Side corner deep jungle,Elige,0,0,0,0,0,0,CT,196
73,Left Side corner deep jungle,Elige,0,0,0,0,0,0,T,196
74,Close Market door,Elige,1,1,0,115,192,-77,CT,196
75,Close Market door,Elige,0,1,-1,11,31,-20,T,196
76,Middle Bench,Elige,0,0,0,0,1,-1,CT,196
77,Middle Bench,Elige,0,3,-3,48,301,-253,T,196
78,Close Left CT A Ramp,Elige,0,0,0,1,0,1,CT,196
79,Close Left CT A Ramp,Elige,0,0,0,0,0,0,T,196
80,Ladder Room Catwalk Side,Elige,2,0,2,216,11,205,CT,196
81,Ladder Room Catwalk Side,Elige,2,2,0,244,275,-31,T,196
82,Jungle Plant,Elige,0,0,0,0,0,0,CT,196
83,Jungle Plant,Elige,0,2,-2,0,153,-153,T,196
84,B site Market Plant,Elige,1,1,0,117,61,56,CT,196
85,B site Market Plant,Elige,0,1,-1,0,75,-75,T,196
86,Back B Site Peeking Apps/Plat,Elige,0,1,-1,0,34,-34,CT,196
87,Back B Site Peeking Apps/Plat,Elige,0,0,0,0,0,0,T,196
88,Murder Hole,Elige,0,1,-1,52,109,-57,CT,196
89,Murder Hole,Elige,0,0,0,0,0,0,T,196
90,Sandwhich,Elige,0,0,0,0,0,0,CT,196
91,Sandwhich,Elige,1,1,0,100,171,-71,T,196
92,Snipers Palace Peek,Elige,0,1,-1,10,191,-181,CT,196
93,Snipers Palace Peek,Elige,1,0,1,100,41,59,T,196
94,Top Mid on top of Boxes,Elige,0,1,-1,0,69,-69,CT,196
95,Top Mid on top of Boxes,Elige,0,0,0,0,0,0,T,196
96,Firebox,Elige,0,2,-2,72,200,-128,CT,196
97,Firebox,Elige,1,0,1,186,59,127,T,196
98,Deep T Apps Underpass STairs,Elige,1,0,1,100,0,100,CT,196
99,Deep T Apps Underpass STairs,Elige,0,0,0,1,1,0,T,196
100,Leftside Connector,Elige,0,1,-1,62,100,-38,CT,196
101,Leftside Connector,Elige,0,0,0,8,13,-5,T,196
102,Arch,Elige,0,1,-1,122,100,22,CT,196
103,Arch,Elige,2,1,1,298,26,272,T,196
104,Balcony Boaxes,Elige,2,1,1,304,100,204,CT,196
105,Balcony Boaxes,Elige,0,0,0,0,0,0,T,196
106,Right Side Platform,Elige,0,0,0,0,0,0,CT,196
107,Right Side Platform,Elige,0,0,0,0,0,0,T,196
108,Elevated Snipers Awp Peek,Elige,0,0,0,54,0,54,CT,196
109,Elevated Snipers Awp Peek,Elige,0,0,0,0,0,0,T,196
110,Under window B apps,Elige,0,0,0,0,0,0,CT,196
111,Under window B apps,Elige,1,1,0,74,73,1,T,196
112,Top Mid Boxes Right Side Peek,Elige,0,0,0,0,0,0,CT,196
113,Top Mid Boxes Right Side Peek,Elige,1,0,1,126,53,73,T,196
114,Bench Closer To Jungle,Elige,1,1,0,193,122,71,CT,196
115,Bench Closer To Jungle,Elige,0,0,0,0,0,0,T,196
116,Inside Market Doors,Elige,1,1,0,157,100,57,CT,196
117,Inside Market Doors,Elige,0,0,0,0,0,0,T,196
118,Close Right Market Window,Elige,0,0,0,0,0,0,CT,196
119,Close Right Market Window,Elige,0,0,0,0,0,0,T,196
120,Under balcony,Elige,0,0,0,0,39,-39,CT,196
121,Under balcony,Elige,0,0,0,0,0,0,T,196
122,Behind Big Boxes,Elige,0,0,0,0,0,0,CT,196
123,Behind Big Boxes,Elige,0,1,-1,0,131,-131,T,196
124,Stairs Palace Peek,Elige,2,0,2,152,63,89,CT,196
125,Stairs Palace Peek,Elige,0,1,-1,0,100,-100,T,196
126,Right Side Snipers Nest,Elige,2,1,1,242,118,124,CT,196
127,Right Side Snipers Nest,Elige,0,0,0,0,0,0,T,196
128,Top STairs,Elige,0,1,-1,0,13,-13,CT,196
129,Top STairs,Elige,0,0,0,0,0,0,T,196
130,Apartments Right CT Corner,Elige,0,0,0,0,0,0,CT,196
131,Apartments Right CT Corner,Elige,0,1,-1,0,34,-34,T,196
132,T Spawn A Ramp,Elige,0,0,0,0,0,0,CT,196
133,T Spawn A Ramp,Elige,1,1,0,108,109,-1,T,196
134,T Deep apps,Elige,1,0,1,100,0,100,CT,196
135,T Deep apps,Elige,0,0,0,0,0,0,T,196
136,Bottom Mid Ladder Room Peek,Elige,0,0,0,0,0,0,CT,196
137,Bottom Mid Ladder Room Peek,Elige,0,0,0,0,19,-19,T,196
138,CT Outside Market,Elige,0,0,0,0,0,0,CT,196
139,CT Outside Market,Elige,0,1,-1,0,78,-78,T,196
140,Catwalk Plant B Site,Elige,1,0,1,100,0,100,CT,196
141,Catwalk Plant B Site,Elige,0,1,-1,35,81,-46,T,196
142,T Deep Apps Underpass/Apps Peek,Elige,0,0,0,0,54,-54,CT,196
143,T Deep Apps Underpass/Apps Peek,Elige,0,0,0,0,65,-65,T,196
144,Top Mid Boxes Left Side Peek,Elige,0,0,0,0,0,0,CT,196
145,Top Mid Boxes Left Side Peek,Elige,3,1,2,431,214,217,T,196
146,Market Window Peek,Elige,0,0,0,70,0,70,CT,196
147,Market Window Peek,Elige,0,0,0,0,0,0,T,196
148,CT Catwalk,Stewie2k,2,3,-1,464,397,67,CT,196
149,CT Catwalk,Stewie2k,2,4,-2,115,400,-285,T,196
150,Ticketbooth ,Stewie2k,0,4,-4,100,350,-250,CT,196
151,Ticketbooth ,Stewie2k,1,2,-1,100,200,-100,T,196
152,Bottom Stairs,Stewie2k,3,1,2,205,114,91,CT,196
153,Bottom Stairs,Stewie2k,1,8,-7,242,711,-469,T,196
154,Deep Catwalk,Stewie2k,3,3,0,329,396,-67,CT,196
155,Deep Catwalk,Stewie2k,1,1,0,73,100,-27,T,196
156,Snipers Nest,Stewie2k,4,2,2,400,183,217,CT,196
157,Snipers Nest,Stewie2k,1,2,-1,100,289,-189,T,196
158,CT Side Apps,Stewie2k,1,1,0,100,100,0,CT,196
159,CT Side Apps,Stewie2k,5,2,3,563,362,201,T,196
160,Catwalk T Aparments Peek,Stewie2k,0,2,-2,0,200,-200,CT,196
161,Catwalk T Aparments Peek,Stewie2k,1,2,-1,154,227,-73,T,196
162,CT Deep Catwalk Mid peek,Stewie2k,7,2,5,768,227,541,CT,196
163,CT Deep Catwalk Mid peek,Stewie2k,0,1,-1,26,100,-74,T,196
164,Back B Site Peeking Apps/Plat,Stewie2k,0,1,-1,21,64,-43,CT,196
165,Back B Site Peeking Apps/Plat,Stewie2k,2,2,0,83,122,-39,T,196
166,Top Mid Left Side,Stewie2k,1,2,-1,100,200,-100,CT,196
167,Top Mid Left Side,Stewie2k,1,2,-1,162,372,-210,T,196
168,Mid Close Connector,Stewie2k,2,1,1,200,3,197,CT,196
169,Mid Close Connector,Stewie2k,2,1,1,244,162,82,T,196
170,Arch,Stewie2k,2,4,-2,364,329,35,CT,196
171,Arch,Stewie2k,0,0,0,44,0,44,T,196
172,Top Mid,Stewie2k,2,0,2,200,0,200,CT,196
173,Top Mid,Stewie2k,1,2,-1,108,222,-114,T,196
174,Default A,Stewie2k,4,1,3,349,106,243,CT,196
175,Default A,Stewie2k,0,1,-1,0,30,-30,T,196
176,Deep T Apps,Stewie2k,0,0,0,0,0,0,CT,196
177,Deep T Apps,Stewie2k,1,1,0,34,223,-189,T,196
178,Catwalk Connector Peek,Stewie2k,3,1,2,482,154,328,CT,196
179,Catwalk Connector Peek,Stewie2k,0,3,-3,23,282,-259,T,196
180,Deep Jungle,Stewie2k,2,1,1,210,141,69,CT,196
181,Deep Jungle,Stewie2k,3,1,2,272,180,92,T,196
182,A Site Exposed to Stairs Connector Cat,Stewie2k,0,1,-1,0,100,-100,CT,196
183,A Site Exposed to Stairs Connector Cat,Stewie2k,1,1,0,24,101,-77,T,196
184,T Palace Stairs Peek,Stewie2k,0,0,0,0,0,0,CT,196
185,T Palace Stairs Peek,Stewie2k,1,2,-1,13,200,-187,T,196
186,Back Right B Site from T's Perspective,Stewie2k,1,2,-1,161,197,-36,CT,196
187,Back Right B Site from T's Perspective,Stewie2k,0,0,0,0,0,0,T,196
188,Leftside Connector,Stewie2k,0,1,-1,54,102,-48,CT,196
189,Leftside Connector,Stewie2k,0,0,0,0,0,0,T,196
190,Bench,Stewie2k,4,3,1,421,356,65,CT,196
191,Bench,Stewie2k,0,1,-1,0,100,-100,T,196
192,A Site,Stewie2k,0,1,-1,35,8,27,CT,196
193,A Site,Stewie2k,0,3,-3,0,240,-240,T,196
194,Right Side Connector,Stewie2k,0,0,0,0,0,0,CT,196
195,Right Side Connector,Stewie2k,2,2,0,251,248,3,T,196
196,Back Left B Site From T's' Perspective,Stewie2k,5,2,3,451,200,251,CT,196
197,Back Left B Site From T's' Perspective,Stewie2k,0,1,-1,0,53,-53,T,196
198,Top Balcony,Stewie2k,1,2,-1,83,200,-117,CT,196
199,Top Balcony,Stewie2k,1,0,1,6,0,6,T,196
200,A Ramp,Stewie2k,0,0,0,0,28,-28,CT,196
201,A Ramp,Stewie2k,0,3,-3,38,282,-244,T,196
202,T Spawn,Stewie2k,0,2,-2,0,192,-192,CT,196
203,T Spawn,Stewie2k,0,0,0,0,0,0,T,196
204,T Spawn A Ramp,Stewie2k,0,0,0,0,0,0,CT,196
205,T Spawn A Ramp,Stewie2k,2,3,-1,200,280,-80,T,196
206,Top Mid towards Apps,Stewie2k,0,0,0,0,0,0,CT,196
207,Top Mid towards Apps,Stewie2k,0,1,-1,69,100,-31,T,196
208,Triple Box,Stewie2k,1,2,-1,201,178,23,CT,196
209,Triple Box,Stewie2k,2,0,2,168,0,168,T,196
210,Deep Palace,Stewie2k,1,1,0,100,122,-22,CT,196
211,Deep Palace,Stewie2k,0,1,-1,0,100,-100,T,196
212,Underpass,Stewie2k,0,1,-1,0,102,-102,CT,196
213,Underpass,Stewie2k,3,1,2,274,249,25,T,196
214,Semi Elevated CT Van,Stewie2k,1,1,0,44,31,13,CT,196
215,Semi Elevated CT Van,Stewie2k,0,0,0,0,0,0,T,196
216,B Bombsite Cross to Catwalk,Stewie2k,5,0,5,476,68,408,CT,196
217,B Bombsite Cross to Catwalk,Stewie2k,3,0,3,117,26,91,T,196
218,Right Side Snipers Nest,Stewie2k,0,1,-1,0,100,-100,CT,196
219,Right Side Snipers Nest,Stewie2k,0,0,0,0,0,0,T,196
220,market,Stewie2k,0,0,0,0,0,0,CT,196
221,market,Stewie2k,2,2,0,251,166,85,T,196
222,Close Market door,Stewie2k,0,2,-2,0,202,-202,CT,196
