,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
0,Ticketbooth ,Simple,12,8,4,1106,831,275,CT,217
1,Ticketbooth ,Simple,2,1,1,200,122,78,T,217
2,Default A,Simple,5,1,4,466,108,358,CT,217
3,Default A,Simple,5,2,3,433,286,147,T,217
4,A Ramp,Simple,1,0,1,100,1,99,CT,217
5,A Ramp,Simple,6,4,2,593,453,140,T,217
6,Bottom Stairs,Simple,4,2,2,283,230,53,CT,217
7,Bottom Stairs,Simple,7,3,4,505,466,39,T,217
8,Top Balcony,Simple,3,2,1,136,207,-71,CT,217
9,Top Balcony,Simple,3,3,0,378,313,65,T,217
10,Triple Box,Simple,7,3,4,588,447,141,CT,217
11,Triple Box,Simple,0,2,-2,78,144,-66,T,217
12,Deep Jungle,Simple,4,3,1,440,297,143,CT,217
13,Deep Jungle,Simple,2,2,0,164,179,-15,T,217
14,Top Mid Left Side,Simple,0,0,0,0,0,0,CT,217
15,Top Mid Left Side,Simple,4,3,1,499,371,128,T,217
16,Snipers Nest,Simple,3,3,0,449,300,149,CT,217
17,Snipers Nest,Simple,1,0,1,100,0,100,T,217
18,T Palace Stairs Peek,Simple,0,0,0,0,0,0,CT,217
19,T Palace Stairs Peek,Simple,0,6,-6,58,601,-543,T,217
20,CT Catwalk,Simple,3,3,0,273,292,-19,CT,217
21,CT Catwalk,Simple,1,0,1,14,0,14,T,217
22,CT Deep Catwalk Mid peek,Simple,1,1,0,138,83,55,CT,217
23,CT Deep Catwalk Mid peek,Simple,0,1,-1,0,100,-100,T,217
24,Catwalk T Aparments Peek,Simple,3,0,3,227,80,147,CT,217
25,Catwalk T Aparments Peek,Simple,0,1,-1,0,77,-77,T,217
26,CT Side Apps,Simple,0,0,0,0,0,0,CT,217
27,CT Side Apps,Simple,4,0,4,356,54,302,T,217
28,A Site Exposed to Stairs Connector Cat,Simple,1,2,-1,100,197,-97,CT,217
29,A Site Exposed to Stairs Connector Cat,Simple,3,0,3,273,159,114,T,217
30,Deep Catwalk,Simple,0,3,-3,137,300,-163,CT,217
31,Deep Catwalk,Simple,2,2,0,166,263,-97,T,217
32,Close Market door,Simple,4,4,0,463,434,29,CT,217
33,Close Market door,Simple,1,1,0,100,100,0,T,217
34,A Site,Simple,0,0,0,15,0,15,CT,217
35,A Site,Simple,1,2,-1,114,324,-210,T,217
36,Mid Close Connector,Simple,2,1,1,231,100,131,CT,217
37,Mid Close Connector,Simple,2,2,0,165,220,-55,T,217
38,Tetris,Simple,1,0,1,68,0,68,CT,217
39,Tetris,Simple,2,2,0,130,278,-148,T,217
40,Deep CT,Simple,0,1,-1,64,113,-49,CT,217
41,Deep CT,Simple,0,0,0,0,0,0,T,217
42,Underneath B apps plat,Simple,0,0,0,84,117,-33,CT,217
43,Underneath B apps plat,Simple,1,0,1,100,64,36,T,217
44,Snipers Palace Peek,Simple,2,2,0,247,265,-18,CT,217
45,Snipers Palace Peek,Simple,0,0,0,0,0,0,T,217
46,Close A Ramp,Simple,0,0,0,0,0,0,CT,217
47,Close A Ramp,Simple,0,1,-1,0,33,-33,T,217
48,Left Side Platform,Simple,1,1,0,100,100,0,CT,217
