,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
0,Ticketbooth ,Jame,14,5,9,1498,684,814,CT,214
1,Ticketbooth ,Jame,2,0,2,119,0,119,T,214
2,A Ramp,Jame,0,0,0,0,0,0,CT,214
3,A Ramp,Jame,5,2,3,381,277,104,T,214
4,CT Side Apps,Jame,0,0,0,0,0,0,CT,214
5,CT Side Apps,Jame,3,6,-3,235,641,-406,T,214
6,Default A,Jame,0,3,-3,14,233,-219,CT,214
7,Default A,Jame,2,3,-1,193,300,-107,T,214
8,Bottom Stairs,Jame,8,3,5,508,390,118,CT,214
9,Bottom Stairs,Jame,1,1,0,74,184,-110,T,214
10,Deep Jungle,Jame,1,2,-1,190,237,-47,CT,214
11,Deep Jungle,Jame,1,3,-2,184,231,-47,T,214
12,Close Market door,Jame,4,4,0,448,502,-54,CT,214
13,Close Market door,Jame,3,0,3,258,32,226,T,214
14,Close A Ramp,Jame,3,1,2,252,100,152,CT,214
15,Close A Ramp,Jame,2,5,-3,351,430,-79,T,214
16,A Site Exposed to Stairs Connector Cat,Jame,2,0,2,251,36,215,CT,214
17,A Site Exposed to Stairs Connector Cat,Jame,1,1,0,10,163,-153,T,214
18,Mid Close Connector,Jame,0,0,0,0,56,-56,CT,214
19,Mid Close Connector,Jame,1,3,-2,208,424,-216,T,214
20,Triple Box,Jame,1,1,0,100,195,-95,CT,214
21,Triple Box,Jame,0,2,-2,0,214,-214,T,214
22,Market Window Peek,Jame,6,3,3,640,330,310,CT,214
23,Market Window Peek,Jame,0,1,-1,0,68,-68,T,214
24,Underpass,Jame,4,1,3,410,141,269,CT,214
25,Underpass,Jame,1,4,-3,145,350,-205,T,214
26,Top Mid Left Side,Jame,0,0,0,0,0,0,CT,214
27,Top Mid Left Side,Jame,1,1,0,125,122,3,T,214
28,Ladder Room Catwalk Side,Jame,0,2,-2,0,141,-141,CT,214
29,Ladder Room Catwalk Side,Jame,2,2,0,224,119,105,T,214
30,Back B Site Peeking Apps/Plat,Jame,0,0,0,0,0,0,CT,214
31,Back B Site Peeking Apps/Plat,Jame,1,2,-1,156,200,-44,T,214
32,Bench,Jame,2,1,1,287,123,164,CT,214
33,Bench,Jame,3,1,2,173,100,73,T,214
34,Catwalk Connector Peek,Jame,0,1,-1,0,100,-100,CT,214
35,Catwalk Connector Peek,Jame,2,1,1,225,100,125,T,214
