,Location,Player,Total Kills,Total Deaths,K/D,Total Damage Dealt,Total Damage Taken,Total Damage Differential,CT Kills,CT Deaths,CT K/D,CT Damage Dealt,CT Damage Taken,CT Damage Differential,T Kills,T Deaths,T K/D,T Damage Dealt,T Damage Taken,T Damage Differential,Total Rounds
0,Ticketbooth ,Jame,19,5,14,1885,848,1037,16,5,11,1666,848,818,3,0,3,219,0,219,256
1,A Ramp,Jame,7,3,4,586,377,209,0,0,0,0,0,0,7,3,4,586,377,209,256
2,CT Side Apps,Jame,3,6,-3,235,641,-406,0,0,0,0,0,0,3,6,-3,235,641,-406,256
3,Default A,Jame,3,7,-4,307,633,-326,1,3,-2,114,233,-119,2,4,-2,193,400,-207,256
4,Close Market door,Jame,9,5,4,849,634,215,6,5,1,591,602,-11,3,0,3,258,32,226,256
5,Bottom Stairs,Jame,10,5,5,714,680,34,9,3,6,608,396,212,1,2,-1,106,284,-178,256
6,Close A Ramp,Jame,5,7,-2,603,678,-75,3,1,2,252,148,104,2,6,-4,351,530,-179,256
7,Deep Jungle,Jame,3,5,-2,432,468,-36,2,2,0,248,237,11,1,3,-2,184,231,-47,256
8,Top Mid Left Side,Jame,1,1,0,125,122,3,0,0,0,0,0,0,1,1,0,125,122,3,256
9,A Site Exposed to Stairs Connector Cat,Jame,3,1,2,261,199,62,2,0,2,251,36,215,1,1,0,10,163,-153,256
10,Market Window Peek,Jame,7,5,2,753,547,206,7,4,3,753,479,274,0,1,-1,0,68,-68,256
11,Triple Box,Jame,1,4,-3,100,509,-409,1,1,0,100,195,-95,0,3,-3,0,314,-314,256
12,Underpass,Jame,6,6,0,655,510,145,5,2,3,510,160,350,1,4,-3,145,350,-205,256
13,Mid Close Connector,Jame,1,3,-2,208,480,-272,0,0,0,0,56,-56,1,3,-2,208,424,-216,256
14,market,Jame,5,7,-2,521,805,-284,5,6,-1,521,705,-184,0,1,-1,0,100,-100,256
15,Bench,Jame,5,2,3,460,223,237,2,1,1,287,123,164,3,1,2,173,100,73,256
16,Tetris,Jame,4,4,0,403,420,-17,0,0,0,0,0,0,4,4,0,403,420,-17,256
17,Ladder Room Catwalk Side,Jame,2,4,-2,224,260,-36,0,2,-2,0,141,-141,2,2,0,224,119,105,256
18,A Site,Jame,1,2,-1,128,230,-102,1,0,1,106,30,76,0,2,-2,22,200,-178,256
19,Back B Site Peeking Apps/Plat,Jame,1,2,-1,156,200,-44,0,0,0,0,0,0,1,2,-1,156,200,-44,256
20,Snipers Nest,Jame,4,3,1,532,471,61,3,3,0,362,445,-83,1,0,1,170,26,144,256
21,Left Side Platform,Jame,2,3,-1,262,323,-61,1,2,-1,100,200,-100,1,1,0,162,123,39,256
22,Catwalk Connector Peek,Jame,2,2,0,225,281,-56,0,1,-1,0,181,-181,2,1,1,225,100,125,256
23,Close Left CT A Ramp,Jame,5,2,3,454,140,314,0,1,-1,0,100,-100,5,1,4,454,40,414,256
24,B Bombsite Cross to Catwalk,Jame,4,2,2,164,280,-116,1,1,0,2,19,-17,3,1,2,162,261,-99,256
25,T Palace Stairs Peek,Jame,0,1,-1,0,115,-115,0,1,-1,0,100,-100,0,0,0,0,15,-15,256
26,Deep CT,Jame,1,2,-1,34,131,-97,0,2,-2,22,131,-109,1,0,1,12,0,12,256
27,Deep T Apps,Jame,1,0,1,100,24,76,0,0,0,0,0,0,1,0,1,100,24,76,256
28,T Spawn A Ramp,Jame,4,2,2,405,260,145,0,0,0,0,0,0,4,2,2,405,260,145,256
29,Deep Catwalk,Jame,3,1,2,210,100,110,1,0,1,60,0,60,2,1,1,150,100,50,256
30,Deep T Apps Underpass STairs,Jame,0,1,-1,99,60,39,0,1,-1,72,60,12,0,0,0,27,0,27,256
31,Back Left B Site From T's' Perspective,Jame,3,0,3,217,95,122,2,0,2,117,35,82,1,0,1,100,60,40,256
32,Top Mid,Jame,2,0,2,153,100,53,1,0,1,53,0,53,1,0,1,100,100,0,256
33,Right Side Connector,Jame,6,1,5,646,179,467,6,1,5,646,179,467,0,0,0,0,0,0,256
34,Snipers Palace Peek,Jame,9,3,6,965,502,463,9,2,7,954,403,551,0,1,-1,11,99,-88,256
35,Murder Hole,Jame,0,1,-1,10,100,-90,0,1,-1,10,100,-90,0,0,0,0,0,0,256
36,Back Right B Site from T's Perspective,Jame,2,2,0,255,193,62,1,1,0,166,100,66,1,1,0,89,93,-4,256
37,Underneath B apps plat,Jame,0,0,0,27,28,-1,0,0,0,0,0,0,0,0,0,27,28,-1,256
38,Bottom Connector,Jame,3,0,3,235,74,161,1,0,1,35,0,35,2,0,2,200,74,126,256
39,Catwalk Plant B Site,Jame,1,1,0,93,82,11,1,1,0,93,44,49,0,0,0,0,38,-38,256
40,B Site Default Plant,Jame,4,2,2,260,117,143,2,0,2,192,0,192,2,2,0,68,117,-49,256
41,T Deep Apps Underpass/Apps Peek,Jame,0,0,0,130,92,38,0,0,0,0,0,0,0,0,0,130,92,38,256
42,CT Left Side,Jame,2,3,-1,418,268,150,1,2,-1,318,209,109,1,1,0,100,59,41,256
43,CT Catwalk,Jame,4,0,4,367,12,355,1,0,1,104,12,92,3,0,3,263,0,263,256
44,Top Mid towards Apps,Jame,1,1,0,127,101,26,1,0,1,0,0,0,0,1,-1,127,101,26,256
45,B site Market Plant,Jame,2,0,2,110,0,110,1,0,1,97,0,97,1,0,1,13,0,13,256
