,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds,Damage Diff Per 30,KD Diff Per 30,Kills Per 30,Deaths Per 30,Damage Dealt Per 30,Damage Taken Per 30
0,Ticketbooth ,s1mple,22,10,12,1814,1248,566,CT,166,102.28915662650603,2.1686746987951806,3.9759036144578315,1.8072289156626506,327.83132530120486,225.54216867469881
1,Ticketbooth ,s1mple,2,1,1,200,122,78,T,156,15.0,0.1923076923076923,0.3846153846153846,0.1923076923076923,38.46153846153847,23.46153846153846
2,Default A,s1mple,8,2,6,761,205,556,CT,166,100.48192771084337,1.0843373493975903,1.4457831325301205,0.3614457831325301,137.53012048192772,37.04819277108434
3,Default A,s1mple,6,5,1,592,400,192,T,156,36.92307692307693,0.1923076923076923,1.153846153846154,0.9615384615384615,113.84615384615384,76.92307692307693
4,CT Side Apps,s1mple,0,0,0,0,0,0,CT,166,0.0,0.0,0.0,0.0,0.0,0.0
5,CT Side Apps,s1mple,5,3,2,456,354,102,T,156,19.615384615384617,0.3846153846153846,0.9615384615384615,0.576923076923077,87.6923076923077,68.07692307692308
6,Top Balcony,s1mple,3,2,1,136,207,-71,CT,166,-12.831325301204819,0.18072289156626506,0.5421686746987951,0.3614457831325301,24.57831325301205,37.40963855421687
7,Top Balcony,s1mple,6,5,1,706,592,114,T,156,21.923076923076923,0.1923076923076923,1.153846153846154,0.9615384615384615,135.76923076923077,113.84615384615384
8,Bottom Stairs,s1mple,4,2,2,283,230,53,CT,166,9.578313253012048,0.3614457831325301,0.7228915662650602,0.3614457831325301,51.144578313253014,41.56626506024096
9,Bottom Stairs,s1mple,7,3,4,505,466,39,T,156,7.5,0.7692307692307692,1.3461538461538463,0.576923076923077,97.11538461538461,89.61538461538461
10,Triple Box,s1mple,8,6,2,688,640,48,CT,166,8.674698795180722,0.3614457831325301,1.4457831325301205,1.0843373493975903,124.33734939759036,115.66265060240964
11,Triple Box,s1mple,1,3,-2,178,288,-110,T,156,-21.153846153846157,-0.3846153846153846,0.1923076923076923,0.576923076923077,34.230769230769226,55.38461538461539
12,A Ramp,s1mple,1,0,1,100,1,99,CT,166,17.89156626506024,0.18072289156626506,0.18072289156626506,0.0,18.072289156626507,0.18072289156626506
13,A Ramp,s1mple,8,5,3,758,680,78,T,156,15.0,0.576923076923077,1.5384615384615383,0.9615384615384615,145.76923076923075,130.76923076923075
14,A Site,s1mple,0,1,-1,15,19,-4,CT,166,-0.7228915662650602,-0.18072289156626506,0.0,0.18072289156626506,2.710843373493976,3.4337349397590358
15,A Site,s1mple,1,5,-4,114,586,-472,T,156,-90.76923076923077,-0.7692307692307692,0.1923076923076923,0.9615384615384615,21.923076923076923,112.6923076923077
16,CT Catwalk,s1mple,4,3,1,384,292,92,CT,166,16.626506024096386,0.18072289156626506,0.7228915662650602,0.5421686746987951,69.39759036144578,52.77108433734939
17,CT Catwalk,s1mple,3,0,3,133,0,133,T,156,25.576923076923077,0.576923076923077,0.576923076923077,0.0,25.576923076923077,0.0
18,CT Deep Catwalk Mid peek,s1mple,1,1,0,138,83,55,CT,166,9.93975903614458,0.0,0.18072289156626506,0.18072289156626506,24.93975903614458,15.0
19,CT Deep Catwalk Mid peek,s1mple,0,1,-1,0,100,-100,T,156,-19.230769230769234,-0.1923076923076923,0.0,0.1923076923076923,0.0,19.230769230769234
20,Deep Jungle,s1mple,7,4,3,698,420,278,CT,166,50.24096385542168,0.5421686746987951,1.2650602409638554,0.7228915662650602,126.144578313253,75.90361445783132
21,Deep Jungle,s1mple,3,3,0,235,279,-44,T,156,-8.461538461538462,0.0,0.576923076923077,0.576923076923077,45.19230769230769,53.65384615384615
22,Snipers Nest,s1mple,4,4,0,555,401,154,CT,166,27.83132530120482,0.0,0.7228915662650602,0.7228915662650602,100.3012048192771,72.46987951807229
23,Snipers Nest,s1mple,1,0,1,100,0,100,T,156,19.230769230769234,0.1923076923076923,0.1923076923076923,0.0,19.230769230769234,0.0
24,Top Mid Left Side,s1mple,0,0,0,0,0,0,CT,166,0.0,0.0,0.0,0.0,0.0,0.0
25,Top Mid Left Side,s1mple,4,3,1,645,393,252,T,156,48.46153846153846,0.1923076923076923,0.7692307692307692,0.576923076923077,124.03846153846155,75.57692307692308
26,T Palace Stairs Peek,s1mple,0,1,-1,0,100,-100,CT,166,-18.072289156626507,-0.18072289156626506,0.0,0.18072289156626506,0.0,18.072289156626507
27,T Palace Stairs Peek,s1mple,1,6,-5,230,636,-406,T,156,-78.07692307692308,-0.9615384615384615,0.1923076923076923,1.153846153846154,44.23076923076923,122.30769230769229
28,Close A Ramp,s1mple,1,0,1,100,81,19,CT,166,3.4337349397590358,0.18072289156626506,0.18072289156626506,0.0,18.072289156626507,14.63855421686747
29,Close A Ramp,s1mple,0,2,-2,74,133,-59,T,156,-11.346153846153847,-0.3846153846153846,0.0,0.3846153846153846,14.23076923076923,25.576923076923077
30,Snipers Palace Peek,s1mple,3,3,0,344,365,-21,CT,166,-3.795180722891566,0.0,0.5421686746987951,0.5421686746987951,62.16867469879518,65.96385542168674
31,Snipers Palace Peek,s1mple,0,2,-2,155,284,-129,T,156,-24.807692307692307,-0.3846153846153846,0.0,0.3846153846153846,29.807692307692307,54.61538461538461
32,Mid Close Connector,s1mple,2,1,1,231,183,48,CT,166,8.674698795180722,0.18072289156626506,0.3614457831325301,0.18072289156626506,41.74698795180723,33.0722891566265
33,Mid Close Connector,s1mple,3,4,-1,265,410,-145,T,156,-27.884615384615387,-0.1923076923076923,0.576923076923077,0.7692307692307692,50.96153846153846,78.84615384615384
34,Deep Catwalk,s1mple,2,3,-1,337,334,3,CT,166,0.5421686746987951,-0.18072289156626506,0.3614457831325301,0.5421686746987951,60.903614457831324,60.36144578313254
35,Deep Catwalk,s1mple,5,2,3,452,354,98,T,156,18.846153846153847,0.576923076923077,0.9615384615384615,0.3846153846153846,86.92307692307692,68.07692307692308
36,A Site Exposed to Stairs Connector Cat,s1mple,3,2,1,222,197,25,CT,166,4.518072289156627,0.18072289156626506,0.5421686746987951,0.3614457831325301,40.12048192771084,35.60240963855422
37,A Site Exposed to Stairs Connector Cat,s1mple,4,0,4,428,205,223,T,156,42.88461538461539,0.7692307692307692,0.7692307692307692,0.0,82.3076923076923,39.42307692307692
38,Left Side Platform,s1mple,2,1,1,200,100,100,CT,166,18.072289156626507,0.18072289156626506,0.3614457831325301,0.18072289156626506,36.144578313253014,18.072289156626507
39,Left Side Platform,s1mple,2,4,-2,203,286,-83,T,156,-15.961538461538462,-0.3846153846153846,0.3846153846153846,0.7692307692307692,39.03846153846154,55.0
40,Market Window Peek,s1mple,5,4,1,389,400,-11,CT,166,-1.9879518072289157,0.18072289156626506,0.9036144578313253,0.7228915662650602,70.3012048192771,72.28915662650603
41,Market Window Peek,s1mple,0,0,0,0,0,0,T,156,0.0,0.0,0.0,0.0,0.0,0.0
42,Catwalk T Aparments Peek,s1mple,4,0,4,369,122,247,CT,166,44.63855421686747,0.7228915662650602,0.7228915662650602,0.0,66.6867469879518,22.048192771084338
43,Catwalk T Aparments Peek,s1mple,1,1,0,84,103,-19,T,156,-3.6538461538461537,0.0,0.1923076923076923,0.1923076923076923,16.153846153846153,19.807692307692307
44,Tetris,s1mple,1,0,1,68,0,68,CT,166,12.289156626506024,0.18072289156626506,0.18072289156626506,0.0,12.289156626506024,0.0
45,Tetris,s1mple,5,2,3,429,381,48,T,156,9.230769230769232,0.576923076923077,0.9615384615384615,0.3846153846153846,82.5,73.26923076923077
46,Underneath B apps plat,s1mple,1,1,0,193,128,65,CT,166,11.746987951807228,0.0,0.18072289156626506,0.18072289156626506,34.87951807228916,23.132530120481928
47,Underneath B apps plat,s1mple,1,0,1,100,64,36,T,156,6.923076923076923,0.1923076923076923,0.1923076923076923,0.0,19.230769230769234,12.307692307692307
