,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds,Percentage Damage Dealt,Percentage Kills,Percentage Deaths,Percentage Damage Taken
0,Ticketbooth ,s1mple,18,3,15,1389,280,1109,CT,295,1.2076160667709963,1.4481094127111827,0.2005347593582888,0.2150868028883085
1,Ticketbooth ,s1mple,2,0,2,200,0,200,T,295,0.1738828029907842,0.16090104585679807,0.0,0.0
2,Top Mid Left Side,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
3,Top Mid Left Side,s1mple,3,2,1,380,200,180,T,295,0.33037732568249,0.2413515687851971,0.1336898395721925,0.15363343063450607
4,CT Side Apps,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
5,CT Side Apps,s1mple,4,0,4,272,68,204,T,295,0.2364806120674665,0.32180209171359614,0.0,0.052235366415732065
6,Top Balcony,s1mple,1,1,0,22,94,-72,CT,295,0.019127108328986262,0.08045052292839903,0.06684491978609625,0.07220771239821785
7,Top Balcony,s1mple,4,1,3,427,41,386,T,295,0.3712397843853243,0.32180209171359614,0.06684491978609625,0.031494853280073745
8,CT Deep Catwalk Mid peek,s1mple,1,1,0,92,35,57,CT,295,0.07998608937576074,0.08045052292839903,0.06684491978609625,0.026885850361038563
9,CT Deep Catwalk Mid peek,s1mple,0,1,-1,0,100,-100,T,295,0.0,0.0,0.06684491978609625,0.07681671531725304
10,Catwalk T Aparments Peek,s1mple,3,0,3,227,0,227,CT,295,0.19735698139454008,0.2413515687851971,0.0,0.0
11,Catwalk T Aparments Peek,s1mple,0,1,-1,0,77,-77,T,295,0.0,0.0,0.06684491978609625,0.05914887079428484
12,CT Catwalk,s1mple,4,1,3,344,70,274,CT,295,0.29907842114414884,0.32180209171359614,0.06684491978609625,0.053771700722077126
13,CT Catwalk,s1mple,1,0,1,19,0,19,T,295,0.016518866284124502,0.08045052292839903,0.0,0.0
14,A Ramp,s1mple,1,0,1,100,0,100,CT,295,0.0869414014953921,0.08045052292839903,0.0,0.0
15,A Ramp,s1mple,5,2,3,450,200,250,T,295,0.39123630672926446,0.4022526146419952,0.1336898395721925,0.15363343063450607
16,Default A,s1mple,3,0,3,266,0,266,CT,295,0.231264127977743,0.2413515687851971,0.0,0.0
17,Default A,s1mple,2,1,1,173,12,161,T,295,0.15040862458702836,0.16090104585679807,0.06684491978609625,0.009218005838070364
18,A Site,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
19,A Site,s1mple,0,1,-1,0,100,-100,T,295,0.0,0.0,0.06684491978609625,0.07681671531725304
20,Close A Ramp,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
21,Close A Ramp,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
22,A Site Exposed to Stairs Connector Cat,s1mple,3,0,3,222,0,222,CT,295,0.19300991131977047,0.2413515687851971,0.0,0.0
23,A Site Exposed to Stairs Connector Cat,s1mple,4,0,4,373,0,373,T,295,0.32429142757781254,0.32180209171359614,0.0,0.0
24,Underneath B apps plat,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
25,Underneath B apps plat,s1mple,1,0,1,100,0,100,T,295,0.0869414014953921,0.08045052292839903,0.0,0.0
26,Triple Box,s1mple,6,1,5,512,25,487,CT,295,0.4451399756564076,0.4827031375703942,0.06684491978609625,0.01920417882931326
27,Triple Box,s1mple,1,1,0,100,100,0,T,295,0.0869414014953921,0.08045052292839903,0.06684491978609625,0.07681671531725304
28,Market Window Peek,s1mple,4,3,1,337,300,37,CT,295,0.29299252303947143,0.32180209171359614,0.2005347593582888,0.2304501459517591
29,Market Window Peek,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
30,Mid Close Connector,s1mple,2,0,2,177,0,177,CT,295,0.153886280646844,0.16090104585679807,0.0,0.0
31,Mid Close Connector,s1mple,1,3,-2,65,272,-207,T,295,0.05651191097200487,0.08045052292839903,0.2005347593582888,0.20894146566292826
32,Snipers Nest,s1mple,2,0,2,142,0,142,CT,295,0.12345679012345678,0.16090104585679807,0.0,0.0
33,Snipers Nest,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
34,CT Left Side,s1mple,2,2,0,187,172,15,CT,295,0.16258042079638324,0.16090104585679807,0.1336898395721925,0.13212475034567522
35,CT Left Side,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
36,Top Connector,s1mple,0,1,-1,0,73,-73,CT,295,0.0,0.0,0.06684491978609625,0.05607620218159472
37,Top Connector,s1mple,4,0,4,403,0,403,T,295,0.3503738480264302,0.32180209171359614,0.0,0.0
38,Snipers Palace Peek,s1mple,1,1,0,100,100,0,CT,295,0.0869414014953921,0.08045052292839903,0.06684491978609625,0.07681671531725304
39,Snipers Palace Peek,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
40,Deep Palace,s1mple,1,0,1,76,0,76,CT,295,0.06607546513649801,0.08045052292839903,0.0,0.0
41,Deep Palace,s1mple,2,1,1,200,100,100,T,295,0.1738828029907842,0.16090104585679807,0.06684491978609625,0.07681671531725304
42,Bottom Stairs,s1mple,2,0,2,107,0,107,CT,295,0.09302729960006956,0.16090104585679807,0.0,0.0
43,Bottom Stairs,s1mple,3,1,2,250,78,172,T,295,0.21735350373848025,0.2413515687851971,0.06684491978609625,0.05991703794745736
44,T Palace Stairs Peek,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
