,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Total Rounds,Percentage Kills,Percentage Deaths,Percentage Damage Taken,Percentage Damage Dealt
0,A Ramp,junior,2,4,-2,200,400,-200,350,0.3663003663003663,0.5235602094240838,0.6167129201356768,0.39924144126160294
1,CT Side Apps,junior,5,3,2,421,300,121,350,0.9157509157509158,0.3926701570680628,0.46253469010175763,0.8404032338556742
2,Bottom Connector,junior,0,2,-2,0,144,-144,350,0.0,0.2617801047120419,0.22201665124884368,0.0
3,Top Balcony,junior,0,2,-2,0,116,-116,350,0.0,0.2617801047120419,0.1788467468393463,0.0
4,Top Mid Left Side,junior,0,2,-2,0,200,-200,350,0.0,0.2617801047120419,0.3083564600678384,0.0
5,Catwalk Connector Peek,junior,0,0,0,0,0,0,350,0.0,0.0,0.0,0.0
6,Close A Ramp,junior,0,2,-2,0,98,-98,350,0.0,0.2617801047120419,0.15109466543324082,0.0
7,Triple Box,junior,7,0,7,700,90,610,350,1.282051282051282,0.0,0.13876040703052728,1.3973450444156104
8,T Palace Stairs Peek,junior,0,0,0,0,0,0,350,0.0,0.0,0.0,0.0
9,Default A,junior,1,1,0,100,21,79,350,0.18315018315018314,0.13089005235602094,0.032377428307123035,0.19962072063080147
10,Sandwhich,junior,0,0,0,0,0,0,350,0.0,0.0,0.0,0.0
11,A Site,junior,0,1,-1,0,100,-100,350,0.0,0.13089005235602094,0.1541782300339192,0.0
12,Deep Catwalk,junior,2,1,1,200,100,100,350,0.3663003663003663,0.13089005235602094,0.1541782300339192,0.39924144126160294
13,T Deep Apps Underpass/Apps Peek,junior,0,0,0,0,0,0,350,0.0,0.0,0.0,0.0
14,Bottom Stairs,junior,3,0,3,273,0,273,350,0.5494505494505495,0.0,0.0,0.5449645673220881
15,Top Mid,junior,3,0,3,309,0,309,350,0.5494505494505495,0.0,0.0,0.6168280267491766
16,Mid Close Connector,junior,0,0,0,0,0,0,350,0.0,0.0,0.0,0.0
17,Top Connector,junior,2,0,2,200,0,200,350,0.3663003663003663,0.0,0.0,0.39924144126160294
18,A Site Exposed to Stairs Connector Cat,junior,2,0,2,190,59,131,350,0.3663003663003663,0.0,0.09096515572001233,0.37927936919852284
19,Ticketbooth ,junior,29,0,29,2232,0,2232,350,5.311355311355311,0.0,0.0,4.455534484479489
20,Tetris,junior,0,1,-1,0,100,-100,350,0.0,0.13089005235602094,0.1541782300339192,0.0
21,Back B Site Peeking Apps/Plat,junior,0,0,0,0,0,0,350,0.0,0.0,0.0,0.0
22,CT Catwalk,junior,0,1,-1,0,178,-178,350,0.0,0.13089005235602094,0.27443724946037623,0.0
23,Jungle Plant,junior,0,1,-1,0,77,-77,350,0.0,0.13089005235602094,0.11871723712611779,0.0
24,Top STairs,junior,1,1,0,100,100,0,350,0.18315018315018314,0.13089005235602094,0.1541782300339192,0.19962072063080147
25,Underpass,junior,3,0,3,300,0,300,350,0.5494505494505495,0.0,0.0,0.5988621618924045
26,Deep T Apps,junior,0,0,0,0,0,0,350,0.0,0.0,0.0,0.0
27,Snipers Palace Peek,junior,4,0,4,354,0,354,350,0.7326007326007326,0.0,0.0,0.7066573510330372
28,Apartments Right CT Corner,junior,0,0,0,0,0,0,350,0.0,0.0,0.0,0.0
29,Snipers Nest,junior,1,0,1,100,0,100,350,0.18315018315018314,0.0,0.0,0.19962072063080147
30,Top Mid Catwalk,junior,0,0,0,0,0,0,350,0.0,0.0,0.0,0.0
31,Deep T Apps Underpass STairs,junior,2,0,2,200,0,200,350,0.3663003663003663,0.0,0.0,0.39924144126160294
32,Right Side Connector,junior,3,0,3,361,83,278,350,0.5494505494505495,0.0,0.12796793092815292,0.7206308014771934
33,CT Spawn,junior,0,0,0,0,0,0,350,0.0,0.0,0.0,0.0
34,Bench Closer To Jungle,junior,1,0,1,90,0,90,350,0.18315018315018314,0.0,0.0,0.17965864856772132
